,gen,pA,pB,pD,error
0,NA,689298487998.64,14859.69856474342,4146.933878479969,10000000000.0
1,1.0,689298496101.724,14859.69856474342,4146.933878479969,9.427274008823591
2,2.0,689298496101.724,14859.69856474342,4743.221313804775,9.427274008823591
3,3.0,689298496101.724,14859.69856474342,5235.199209240014,9.427274008823591
4,4.0,689298496101.724,14859.69856474342,8895.097746358555,9.427274008823591
5,5.0,689298496101.724,14859.69856474342,9700.48879475486,9.427274008823591
6,6.0,689298496101.724,14859.69856474342,10273.69982426958,9.427274008823591
7,7.0,689298496101.724,14859.69856474342,10318.62680167964,9.427274008823591
8,8.0,689298496101.724,14859.69856474342,13083.972169976205,9.427274008823591
9,9.0,689298496101.724,14859.69856474342,13198.939044520006,9.427274008823591
10,10.0,689298496101.724,14867.561600605548,35225.40483932672,9.427274008823591
11,11.0,689298496101.724,14948.51002852096,35225.40483932672,9.427274008823591
12,12.0,689298496101.724,14972.692603777692,35225.40483932672,9.427274008823591
13,13.0,689298496101.724,14981.450098535719,35225.40483932672,9.427274008823591
14,14.0,689298496101.724,15095.512480860078,35225.40483932672,9.427274008823591
15,15.0,689298496101.724,16456.705102988362,35225.40483932672,9.427274008823591
16,16.0,689298496101.724,16526.228754074593,35225.40483932672,9.427274008823591
17,17.0,689298496101.724,16971.28542114791,35225.40483932672,9.427274008823591
18,18.0,689298496101.724,17076.102445290264,35225.40483932672,9.427274008823591
19,19.0,689298496101.724,17097.99327182398,35225.40483932672,9.427274008823591
20,20.0,689298496101.724,17121.971177736996,35225.40483932672,9.427274008823591
21,21.0,689298496101.724,17178.370478499837,35225.40483932672,9.427274008823591
22,22.0,689298496118.1813,20159.328465541566,35225.40483932672,9.427274008823591
23,23.0,689298496137.5623,20159.328465541566,35225.40483932672,9.427274008823591
24,24.0,689298496745.7313,20159.328465541566,35225.40483932672,9.427274008823591
25,25.0,689298496748.0316,20159.328465541566,35225.40483932672,9.427274008823591
26,26.0,689298504851.1156,20211.986903978377,35225.40483932672,9.427274008823591
27,27.0,689298504851.1156,20244.717334396108,35225.40483932672,9.427274008823591
28,28.0,689298504851.1156,20628.115468864824,35225.40483932672,9.427274008823591
29,29.0,689298504851.1156,20649.312499158397,35225.40483932672,9.427274008823591
30,30.0,689298504875.0247,23630.270486200126,35225.40483932672,9.427274008823591
31,31.0,689298505276.583,23630.270486200126,35225.40483932672,9.427274008823591
32,32.0,689298505350.0568,23630.270486200126,35225.40483932672,9.427274008823591
33,33.0,689298505382.977,23630.270486200126,35225.40483932672,9.427274008823591
34,34.0,689298513486.061,23746.386017816498,35225.40483932672,9.427274008823591
35,35.0,689298513486.061,23751.89486169398,35225.40483932672,9.427274008823591
36,36.0,689298513486.061,23778.51056063769,35225.40483932672,9.427274008823591
