time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	bound_ecolipol	2000.000000	0.000000	0.000000
0.000000	bound_ribosome	100.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
4.999559	__gene_A*_rbs	0.000000	0.000000	0.000000
4.999559	__gene_A_rbs	2.000000	0.000000	0.000000
4.999559	__gene_B_rbs	0.000000	0.000000	0.000000
4.999559	__gene_C_rbs	0.000000	0.000000	0.000000
4.999559	__gene_D_rbs	0.000000	0.000000	0.000000
4.999559	__gene_E_rbs	0.000000	0.000000	0.000000
4.999559	__gene_F_rbs	0.000000	0.000000	0.000000
4.999559	__gene_G_rbs	0.000000	0.000000	0.000000
4.999559	__gene_H_rbs	0.000000	0.000000	0.000000
4.999559	__gene_J_rbs	0.000000	0.000000	0.000000
4.999559	__gene_K_rbs	0.000000	0.000000	0.000000
4.999559	__ribosome	97.000000	0.000000	0.000000
4.999559	bound_ecolipol	1931.000000	0.000000	0.000000
4.999559	bound_ribosome	100.000000	0.000000	0.000000
4.999559	ecoli_genome	69.000000	0.000000	0.000000
4.999559	ecoli_transcript	414.000000	0.000000	0.000000
4.999559	ecolipol	63.000000	0.000000	0.000000
4.999559	gene_A	0.000000	2.000000	1.500000
4.999559	promoter_A	1.000000	0.000000	0.000000
4.999559	promoter_B1	0.000000	0.000000	0.000000
4.999559	promoter_D	1.000000	0.000000	0.000000
9.999778	__gene_A*_rbs	0.000000	0.000000	0.000000
9.999778	__gene_A_rbs	1.000000	0.000000	0.000000
9.999778	__gene_B_rbs	1.000000	0.000000	0.000000
9.999778	__gene_C_rbs	0.000000	0.000000	0.000000
9.999778	__gene_D_rbs	0.000000	0.000000	0.000000
9.999778	__gene_E_rbs	0.000000	0.000000	0.000000
9.999778	__gene_F_rbs	0.000000	0.000000	0.000000
9.999778	__gene_G_rbs	0.000000	0.000000	0.000000
9.999778	__gene_H_rbs	0.000000	0.000000	0.000000
9.999778	__gene_J_rbs	0.000000	0.000000	0.000000
9.999778	__gene_K_rbs	0.000000	0.000000	0.000000
9.999778	__ribosome	77.000000	0.000000	0.000000
9.999778	bound_ecolipol	1932.000000	0.000000	0.000000
9.999778	bound_ribosome	100.000000	0.000000	0.000000
9.999778	ecoli_genome	68.000000	0.000000	0.000000
9.999778	ecoli_transcript	796.000000	0.000000	0.000000
9.999778	ecolipol	55.000000	0.000000	0.000000
9.999778	gene_A	0.000000	4.000000	4.750000
9.999778	gene_B	0.000000	2.000000	2.000000
9.999778	promoter_A	0.000000	0.000000	0.000000
9.999778	promoter_B1	0.000000	0.000000	0.000000
9.999778	promoter_D	1.000000	0.000000	0.000000
14.999356	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999356	__gene_A_rbs	7.000000	0.000000	0.000000
14.999356	__gene_B_rbs	4.000000	0.000000	0.000000
14.999356	__gene_C_rbs	0.000000	0.000000	0.000000
14.999356	__gene_D_rbs	0.000000	0.000000	0.000000
14.999356	__gene_E_rbs	0.000000	0.000000	0.000000
14.999356	__gene_F_rbs	0.000000	0.000000	0.000000
14.999356	__gene_G_rbs	0.000000	0.000000	0.000000
14.999356	__gene_H_rbs	0.000000	0.000000	0.000000
14.999356	__gene_J_rbs	0.000000	0.000000	0.000000
14.999356	__gene_K_rbs	0.000000	0.000000	0.000000
14.999356	__ribosome	47.000000	0.000000	0.000000
14.999356	bound_ecolipol	1919.000000	0.000000	0.000000
14.999356	bound_ribosome	100.000000	0.000000	0.000000
14.999356	ecoli_genome	81.000000	0.000000	0.000000
