,gen,pA,pB,pD,error
0,NA,0.0641304249819068,16120140516.085419,251411530851.6512,10000000000.0
1,1.0,0.0641304249819068,16120142906.24948,251411530851.6512,10000000000.0
2,2.0,0.0641304249819068,16120148832.51425,251411530851.6512,10000000000.0
3,3.0,0.0641304249819068,16120147136.71514,251411530851.6512,10000000000.0
4,4.0,0.0641304249819068,16120149203.541378,251411530851.6512,10000000000.0
5,5.0,0.0641304249819068,16120143426.077745,251411530851.6512,10000000000.0
6,6.0,0.0641304249819068,16120144685.400976,251411530851.6512,-1.0
7,7.0,0.0641304249819068,16120144557.47902,251411530851.6512,-1.0
8,8.0,0.0641304249819068,16120148262.658674,251411530851.6512,-1.0
9,9.0,0.0641304249819068,16120155266.762144,251411530851.6512,-1.0
10,10.0,0.0641304249819068,16120153243.926464,251411530851.6512,-1.0
11,11.0,-7336.13813351192,16120175270.39226,251411530851.6512,-1.0
12,12.0,-2575.7573366461384,16120175270.39226,251411530851.6512,-1.0
13,13.0,2883.8687731571317,16120175270.39226,251411530851.6512,-1.0
14,14.0,66.4838195676034,16120175270.39226,251411530851.6512,-1.0
15,15.0,-7851.949159408998,16120175270.39226,251411530851.6512,-1.0
16,16.0,-1055.0643456741482,16120175270.39226,251411530851.6512,-1.0
17,17.0,874.745694630338,16120175270.39226,251411530851.6512,-1.0
18,18.0,3050.891786587158,16120175270.39226,251411530851.6512,-1.0
19,19.0,3847.310470101667,16120175270.39226,251411530851.6512,-1.0
20,20.0,8578.378123464263,16120175270.39226,251411530851.6512,-1.0
21,21.0,30604.84391827098,16120172024.296097,251411530851.6512,219.69729
22,22.0,30604.84391827098,16120170560.735243,251411530851.6512,219.69729
23,23.0,30604.84391827098,16120171018.564276,251411530851.6512,219.69729
24,24.0,30604.84391827098,16120166987.16853,251411530851.6512,219.69729
25,25.0,30604.84391827098,16120167266.311592,251411530851.6512,219.69729
26,26.0,30604.84391827098,16120164409.262327,251411530851.6512,219.69729
27,27.0,30604.84391827098,16120160058.217987,251411530851.6512,219.69729
28,28.0,30604.84391827098,16120166637.396843,251411530851.6512,219.69729
29,29.0,30604.84391827098,16120165863.242655,251411530851.6512,219.69729
30,30.0,30604.84391827098,16120170119.126204,251411530851.6512,219.69729
31,31.0,35700.319226576226,16120192145.592,251411530851.6512,219.69729
32,32.0,37183.548210887784,16120192145.592,251411530851.6512,219.69729
33,33.0,31742.35056699162,16120192145.592,251411530851.6512,219.69729
34,34.0,53768.81636179834,16120192145.592,251411530851.6512,219.3279
35,35.0,53768.81636179834,16120187889.908281,251411530851.6512,219.3279
36,36.0,53768.81636179834,16120186481.24588,251411530851.6512,219.3279
37,37.0,53768.81636179834,16120179132.320997,251411530851.6512,219.3279
38,38.0,53768.81636179834,16120178187.577095,251411530851.6512,219.3279
39,39.0,53768.81636179834,16120175062.496613,251411530851.6512,219.3279
40,40.0,53768.81636179834,16120183069.577595,251411530851.6512,219.3279
