,gen,pA,pB,pD,error
0,NA,22336576.460339624,0.6225112107369837,15913.08836020424,10000000000.0
1,1.0,22336576.460339624,162755.41393021465,15913.08836020424,9.41844
2,2.0,22336576.460339624,325510.20534921857,15913.08836020424,9.41446
3,3.0,22358602.92613443,325510.20534921857,15913.08836020424,9.40835
4,4.0,22358602.92613443,325510.20534921857,24111.117838832215,9.40835
5,5.0,22358602.92613443,325510.20534921857,20196.194743157936,9.40835
6,6.0,22358602.92613443,325510.20534921857,2782.056248924404,9.40835
7,7.0,22358602.92613443,325510.20534921857,7513.745548258929,9.40835
8,8.0,22358602.92613443,325510.20534921857,67387.88726345675,9.40676
9,9.0,22358602.92613443,325510.20534921857,40979.233594636156,9.40676
10,10.0,22358602.92613443,325510.20534921857,36483.46770850812,9.40676
11,11.0,22358602.92613443,325510.20534921857,41007.66059126404,9.40676
12,12.0,22358602.92613443,325510.20534921857,19466.591682865903,9.40676
13,13.0,22358602.92613443,325510.20534921857,17924.186018193697,9.40676
14,14.0,22356380.904461958,325510.20534921857,77798.32773339152,9.41388
15,15.0,22355593.58839864,325510.20534921857,77798.32773339152,9.41388
16,16.0,22355310.72238037,325510.20534921857,77798.32773339152,9.41388
17,17.0,22377337.188175175,325510.20534921857,77798.32773339152,9.41347
18,18.0,22377337.188175175,325510.20534921857,137672.46944858934,9.4098
19,19.0,22376560.279151745,325510.20534921857,137672.46944858934,9.4098
20,20.0,22377146.14908798,325510.20534921857,137672.46944858934,9.4098
21,21.0,22373906.574189417,325510.20534921857,137672.46944858934,9.4098
22,22.0,22377621.155455425,325510.20534921857,137672.46944858934,9.4098
23,23.0,22376026.228927348,325510.20534921857,137672.46944858934,9.4098
24,24.0,22398052.694722153,325510.20534921857,123830.40451128778,9.41865
25,25.0,22398052.694722153,325510.20534921857,183704.5462264856,9.41546
26,26.0,22420079.16051696,325510.20534921857,183704.5462264856,9.40911
27,27.0,22413865.74061448,325510.20534921857,183704.5462264856,9.40911
28,28.0,22417637.346976787,325510.20534921857,183704.5462264856,9.40911
29,29.0,22419983.883080192,325510.20534921857,183704.5462264856,9.40911
30,30.0,22423219.015426423,325510.20534921857,183704.5462264856,9.40911
31,31.0,22428613.275314093,325510.20534921857,183704.5462264856,9.40911
32,32.0,22423285.962342624,325510.20534921857,183704.5462264856,9.41173
33,33.0,22420021.52780507,325510.20534921857,183704.5462264856,9.41173
34,34.0,22414775.438951395,325510.20534921857,183704.5462264856,9.41173
35,35.0,22412013.947582982,325510.20534921857,183704.5462264856,9.41173
36,36.0,22407038.12904755,325510.20534921857,183704.5462264856,9.41173
37,37.0,22429064.594842356,325673.6571951521,183704.5462264856,9.41694
38,38.0,22429064.594842356,305174.2323917938,183704.5462264856,9.41694
39,39.0,22429064.594842356,467929.0238107977,183704.5462264856,9.41614
40,40.0,22429064.594842356,467929.0238107977,243578.68794168343,9.41506
41,41.0,22429064.594842356,630683.8152298017,243578.68794168343,9.40079
42,42.0,22426207.10394416,630683.8152298017,243578.68794168343,9.40079
43,43.0,22432179.492913224,630683.8152298017,243578.68794168343,9.40079
44,44.0,22435669.143210366,630683.8152298017,243578.68794168343,9.40079
45,45.0,22439029.35293337,630683.8152298017,243578.68794168343,9.40079
46,46.0,22439837.893801406,630683.8152298017,243578.68794168343,9.40079
47,47.0,22442553.40688263,630683.8152298017,243578.68794168343,9.40846
48,48.0,22443471.937228944,630683.8152298017,243578.68794168343,9.40846
49,49.0,22445120.82238257,630683.8152298017,243578.68794168343,9.40846
50,50.0,22446768.01763141,630683.8152298017,243578.68794168343,9.40846
51,51.0,22449526.17708708,630683.8152298017,243578.68794168343,9.40846
52,52.0,22493579.10867669,630683.8152298017,243578.68794168343,9.41178
53,53.0,22493579.10867669,793438.6066488056,243578.68794168343,9.40199
54,54.0,22493579.10867669,793438.6066488056,254009.33343037375,9.40199
55,55.0,22493579.10867669,793438.6066488056,263335.9196394055,9.40199
56,56.0,22493579.10867669,793438.6066488056,283845.91381592245,9.40199
57,57.0,22493579.10867669,793438.6066488056,280021.78924012266,9.40199
58,58.0,22493579.10867669,793438.6066488056,294016.4205987444,9.40199
59,59.0,22493579.10867669,793438.6066488056,353890.56231394224,9.39731
60,60.0,22490267.86310246,793438.6066488056,353890.56231394224,9.39731
61,61.0,22491539.63205633,793438.6066488056,353890.56231394224,9.39731
62,62.0,22493075.109780446,793438.6066488056,353890.56231394224,9.39731
63,63.0,22494776.405298304,793438.6066488056,353890.56231394224,9.39731
64,64.0,22498265.373946026,793438.6066488056,353890.56231394224,9.39731
65,65.0,22520291.83974083,793438.6066488056,413764.70402914006,9.39888
66,66.0,22520291.83974083,788178.9375417678,413764.70402914006,9.39888
67,67.0,22520291.83974083,759967.7996721944,413764.70402914006,9.39888
68,68.0,22520291.83974083,751805.0552377136,413764.70402914006,9.39888
69,69.0,22520291.83974083,748331.2854917905,413764.70402914006,9.39888
70,70.0,22520291.83974083,819613.117245179,413764.70402914006,9.39888
71,71.0,22520291.83974083,1145122.7000831868,413764.70402914006,9.39175
72,72.0,22517016.7799367,1145122.7000831868,413764.70402914006,9.39175
73,73.0,22516639.19209264,1145122.7000831868,413764.70402914006,9.39175
74,74.0,22514266.76761835,1145122.7000831868,413764.70402914006,9.39175
75,75.0,22518699.642194353,1145122.7000831868,413764.70402914006,9.39175
76,76.0,22521465.34905717,1145122.7000831868,413764.70402914006,9.39175
77,77.0,22522649.783881035,1145122.7000831868,413764.70402914006,9.40418
78,78.0,22524856.87413131,1145122.7000831868,413764.70402914006,9.40418
79,79.0,22525627.04298568,1145122.7000831868,413764.70402914006,9.40418
80,80.0,22514278.78670684,1145122.7000831868,413764.70402914006,9.40418
81,81.0,22536305.252501644,1145122.7000831868,413764.70402914006,9.40352
82,82.0,22536305.252501644,1145122.7000831868,473638.8457443379,9.39695
83,83.0,22558331.71829645,1145122.7000831868,473638.8457443379,9.39118
84,84.0,22559723.23955735,1145122.7000831868,473638.8457443379,9.39118
85,85.0,22556564.095507648,1145122.7000831868,473638.8457443379,9.39118
