,gen,pA,pB,pD,error
0,NA,1.7534448378805674,724830288429762.2,2589047912.4132,10000000000.0
1,1.0,1.7534448378805674,724830288429762.2,2589048691.7650924,10000000000.0
2,2.0,1.7534448378805674,724830288429762.2,2589065249.34148,10000000000.0
3,3.0,1.7534448378805674,724830288429762.2,2589073650.3806934,10000000000.0
4,4.0,1.7534448378805674,724830288429762.2,2589076659.179516,10000000000.0
5,5.0,1.7534448378805674,724830288429762.2,2589080216.6851315,10000000000.0
6,6.0,1.7534448378805674,724830288454575.4,2589140090.8268466,-1.0
7,7.0,1.7534448378805674,724830288508883.8,2589140090.8268466,-1.0
8,8.0,1.7534448378805674,724830288487630.8,2589140090.8268466,-1.0
9,9.0,1.7534448378805674,724830288486884.1,2589140090.8268466,-1.0
10,10.0,1.7534448378805674,724830288465496.2,2589140090.8268466,-1.0
11,11.0,1.7534448378805674,724830288628251.0,2589136697.7009478,-1.0
12,12.0,1.7534448378805674,724830288628251.0,2589171758.099563,-1.0
13,13.0,1.7534448378805674,724830288628251.0,2589177394.083172,-1.0
14,14.0,1.7534448378805674,724830288628251.0,2589157695.7980323,-1.0
15,15.0,1.7534448378805674,724830288628251.0,2589156571.5073767,-1.0
16,16.0,1.7534448378805674,724830288571163.5,2589216445.6490917,-1.0
17,17.0,1.7534448378805674,724830288550798.2,2589216445.6490917,-1.0
18,18.0,1.7534448378805674,724830288527087.6,2589216445.6490917,-1.0
19,19.0,1.7534448378805674,724830288504199.1,2589216445.6490917,-1.0
20,20.0,1.7534448378805674,724830288513026.6,2589216445.6490917,-1.0
21,21.0,1.7534448378805674,724830288675781.4,2589196504.871365,-1.0
22,22.0,1.7534448378805674,724830288675781.4,2589222381.507761,-1.0
23,23.0,1.7534448378805674,724830288675781.4,2589207472.8228908,-1.0
24,24.0,1.7534448378805674,724830288675781.4,2589209567.514513,-1.0
25,25.0,1.7534448378805674,724830288675781.4,2589218419.067955,-1.0
26,26.0,1.7534448378805674,724830288675781.4,2589205883.1593804,-1.0
27,27.0,1.7534448378805674,724830288675781.4,2589207600.8710947,-1.0
28,28.0,1.7534448378805674,724830288675781.4,2589197899.3712487,-1.0
29,29.0,1.7534448378805674,724830288675781.4,2589208804.0853963,-1.0
30,30.0,1.7534448378805674,724830288675781.4,2589216014.3863754,-1.0
31,31.0,-3426.22771163117,724830288675781.4,2589275888.5280905,-1.0
32,32.0,2992.32153834875,724830288675781.4,2589275888.5280905,-1.0
33,33.0,1914.225257510958,724830288675781.4,2589275888.5280905,-1.0
34,34.0,-1450.3824375739853,724830288675781.4,2589275888.5280905,-1.0
35,35.0,-1332.1660758499934,724830288675781.4,2589275888.5280905,-1.0
36,36.0,42720.76551376344,724830288675781.4,2589275888.5280905,162.62769
37,37.0,64747.23130857016,724830288675781.4,2589275888.5280905,67.07746
38,38.0,69439.05935644548,724830288675781.4,2589275888.5280905,67.07746
39,39.0,71748.58755660374,724830288675781.4,2589275888.5280905,67.07746
40,40.0,64032.2741917112,724830288675781.4,2589275888.5280905,67.07746
41,41.0,59198.16824121244,724830288675781.4,2589275888.5280905,67.07746
42,42.0,62327.620044678544,724830288675781.4,2589275888.5280905,67.07746
43,43.0,84354.08583948525,724830288649470.9,2589275888.5280905,89.13335
44,44.0,84354.08583948525,724830288628619.9,2589275888.5280905,89.13335
45,45.0,84354.08583948525,724830288596605.4,2589275888.5280905,89.13335
46,46.0,84354.08583948525,724830288631646.9,2589275888.5280905,89.13335
47,47.0,84354.08583948525,724830288598603.5,2589275888.5280905,89.13335
48,48.0,84354.08583948525,724830288629363.5,2589275888.5280905,89.13335
49,49.0,84354.08583948525,724830288631492.9,2589275888.5280905,89.13335
50,50.0,84354.08583948525,724830288639531.6,2589275888.5280905,89.13335
51,51.0,84354.08583948525,724830288654102.5,2589275888.5280905,89.13335
52,52.0,84354.08583948525,724830288654448.1,2589275888.5280905,89.13335
53,53.0,84354.08583948525,724830288659689.2,2589275888.5280905,89.13335
54,54.0,84354.08583948525,724830288599111.0,2589275888.5280905,89.13335
55,55.0,84354.08583948525,724830288590856.8,2589275888.5280905,89.13335
56,56.0,84354.08583948525,724830288572588.1,2589275888.5280905,89.13335
57,57.0,84354.08583948525,724830288581188.5,2589275888.5280905,89.13335
58,58.0,84354.08583948525,724830288572863.2,2589275888.5280905,89.13335
59,59.0,84354.08583948525,724830288571525.1,2589275888.5280905,89.13335
60,60.0,84354.08583948525,724830288535399.9,2589275888.5280905,89.13335
61,61.0,84354.08583948525,724830288521371.4,2589275888.5280905,89.13335
62,62.0,84354.08583948525,724830288550643.4,2589275888.5280905,89.13335
63,63.0,84354.08583948525,724830288452552.6,2589275888.5280905,89.13335
64,64.0,84354.08583948525,724830288463088.1,2589275888.5280905,89.13335
65,65.0,84354.08583948525,724830288528887.8,2589275888.5280905,89.13335
66,66.0,84354.08583948525,724830288500101.5,2589275888.5280905,89.13335
67,67.0,84354.08583948525,724830288474548.6,2589275888.5280905,89.13335
68,68.0,84354.08583948525,724830288637303.4,2589259856.6728106,89.13335
69,69.0,84354.08583948525,724830288637303.4,2589252826.0579762,89.13335
70,70.0,84354.08583948525,724830288637303.4,2589241304.205513,89.13335
71,71.0,84354.08583948525,724830288637303.4,2589246698.9229064,89.13335
72,72.0,84354.08583948525,724830288637303.4,2589258039.230799,89.13335
73,73.0,106380.55163429197,724830288637303.4,2589317913.3725142,76.689
74,74.0,106380.55163429197,724830288643558.6,2589317913.3725142,76.689
75,75.0,106380.55163429197,724830288677035.6,2589317913.3725142,76.689
76,76.0,106380.55163429197,724830288638457.5,2589317913.3725142,76.689
77,77.0,106380.55163429197,724830288652536.2,2589317913.3725142,76.689
78,78.0,106380.55163429197,724830288720886.5,2589317913.3725142,76.689
79,79.0,106380.55163429197,724830288640870.6,2589317913.3725142,76.689
80,80.0,106380.55163429197,724830288636831.5,2589317913.3725142,76.689
81,81.0,106380.55163429197,724830288635930.6,2589317913.3725142,76.689
82,82.0,106380.55163429197,724830288619824.2,2589317913.3725142,76.689
83,83.0,106380.55163429197,724830288609677.1,2589317913.3725142,76.689
84,84.0,128407.01742909869,724830288772431.9,2589317913.3725142,43.75095
85,85.0,128407.01742909869,724830288772431.9,2589342179.1992364,43.75095
86,86.0,128407.01742909869,724830288772431.9,2589355961.5922675,43.75095
87,87.0,128407.01742909869,724830288772431.9,2589362229.7507358,43.75095
88,88.0,128407.01742909869,724830288772431.9,2589356052.59283,43.75095
89,89.0,128407.01742909869,724830288772431.9,2589355402.0282393,43.75095
90,90.0,128407.01742909869,724830288829333.5,2589415276.1699543,43.75095
91,91.0,128407.01742909869,724830288854905.4,2589415276.1699543,43.75095
92,92.0,128407.01742909869,724830288868431.5,2589415276.1699543,43.75095
93,93.0,128407.01742909869,724830288861017.0,2589415276.1699543,43.75095
94,94.0,128407.01742909869,724830288912276.5,2589415276.1699543,43.75095
95,95.0,128407.01742909869,724830288884948.4,2589415276.1699543,43.75095
96,96.0,128407.01742909869,724830288889230.2,2589415276.1699543,43.75095
97,97.0,128407.01742909869,724830288842557.8,2589415276.1699543,43.75095
98,98.0,128407.01742909869,724830288875141.5,2589415276.1699543,43.75095
99,99.0,128407.01742909869,724830288863819.1,2589415276.1699543,43.75095
100,100.0,128407.01742909869,724830288844172.6,2589415276.1699543,43.75095
101,101.0,128407.01742909869,724830288852995.6,2589415276.1699543,43.75095
102,102.0,128407.01742909869,724830288901797.9,2589415276.1699543,43.75095
103,103.0,128407.01742909869,724830288931162.5,2589415276.1699543,43.75095
104,104.0,128407.01742909869,724830288904164.9,2589415276.1699543,43.75095
105,105.0,131195.74091846432,724830289066919.6,2589415276.1699543,43.75095
106,106.0,127150.32818275996,724830289066919.6,2589415276.1699543,43.75095
107,107.0,130507.8740974368,724830289066919.6,2589415276.1699543,43.75095
108,108.0,131018.81107986494,724830289066919.6,2589415276.1699543,43.75095
109,109.0,137378.98777563055,724830289066919.6,2589415276.1699543,43.75095
110,110.0,159405.45357043727,724830289066919.6,2589415276.1699543,27.22311
111,111.0,153862.17549432468,724830289066919.6,2589415276.1699543,27.22311
112,112.0,156679.40111477088,724830289066919.6,2589415276.1699543,27.22311
113,113.0,152924.0303709103,724830289066919.6,2589415276.1699543,27.22311
114,114.0,151440.6497833544,724830289066919.6,2589415276.1699543,27.22311
115,115.0,144829.60776329364,724830289066919.6,2589415276.1699543,27.22311
116,116.0,188882.53935290707,724830289066919.6,2589415276.1699543,23.84394
117,117.0,188882.53935290707,724830289052461.4,2589415276.1699543,23.84394
118,118.0,188882.53935290707,724830289063482.6,2589415276.1699543,23.84394
119,119.0,188882.53935290707,724830289064255.0,2589415276.1699543,23.84394
120,120.0,188882.53935290707,724830289097921.5,2589415276.1699543,23.84394
121,121.0,188882.53935290707,724830289084071.0,2589415276.1699543,23.84394
122,122.0,188882.53935290707,724830289246825.8,2589403550.6021147,23.84394
123,123.0,188882.53935290707,724830289246825.8,2589414684.371469,23.84394
124,124.0,188882.53935290707,724830289246825.8,2589432557.559774,23.84394
125,125.0,188882.53935290707,724830289246825.8,2589426289.3873873,23.84394
126,126.0,188882.53935290707,724830289246825.8,2589427866.74652,23.84394
127,127.0,186910.15095474938,724830289246825.8,2589487740.888235,23.84394
