,gen,pA,pB,pD,error
0,NA,8.822776625297266e-05,696862652210.1299,132.99222586943816,10000000000.0
1,1.0,22026.465883034485,696862652210.1299,132.99222586943816,328.45067
2,2.0,22026.465883034485,696862706886.7825,132.99222586943816,328.45067
3,3.0,22026.465883034485,696862685529.9937,132.99222586943816,328.45067
4,4.0,22026.465883034485,696862687768.1244,132.99222586943816,328.45067
5,5.0,22026.465883034485,696862677220.3054,132.99222586943816,328.45067
6,6.0,22026.465883034485,696862669904.544,132.99222586943816,328.45067
7,7.0,22026.465883034485,696862680612.1565,132.99222586943816,328.45067
8,8.0,22026.465883034485,696862652694.7755,132.99222586943816,328.45067
9,9.0,22026.465883034485,696862646694.6534,132.99222586943816,328.45067
10,10.0,22026.465883034485,696862682563.0077,132.99222586943816,328.45067
11,11.0,22026.465883034485,696862676385.1593,132.99222586943816,328.45067
12,12.0,44052.9316778412,696862839139.9507,132.99222586943816,88.02521
13,13.0,44052.9316778412,696862839139.9507,9997.02072561094,88.02521
14,14.0,44052.9316778412,696862839139.9507,12126.170238386425,88.02521
15,15.0,44052.9316778412,696862839139.9507,15981.343735385874,88.02521
16,16.0,44052.9316778412,696862839139.9507,6944.0397261927465,88.02521
17,17.0,44052.9316778412,696862839139.9507,6146.238211648712,88.02521
18,18.0,44052.9316778412,696862867071.7416,66020.37992684652,88.02521
19,19.0,44052.9316778412,696862896776.9691,66020.37992684652,88.02521
20,20.0,44052.9316778412,696862897890.2767,66020.37992684652,88.02521
21,21.0,44052.9316778412,696862925510.9482,66020.37992684652,88.02521
22,22.0,44052.9316778412,696862965070.7604,66020.37992684652,88.02521
23,23.0,44052.9316778412,696862932055.7019,66020.37992684652,88.02521
24,24.0,44052.9316778412,696862907890.2825,66020.37992684652,88.02521
25,25.0,44052.9316778412,696862957047.5128,66020.37992684652,88.02521
26,26.0,44052.9316778412,696862928107.0133,66020.37992684652,88.02521
27,27.0,44052.9316778412,696862920848.1255,66020.37992684652,88.02521
28,28.0,42774.90319903698,696863083602.9169,66020.37992684652,88.02521
29,29.0,41569.951365708504,696863083602.9169,66020.37992684652,88.02521
30,30.0,41845.646936515026,696863083602.9169,66020.37992684652,88.02521
31,31.0,38352.294620163775,696863083602.9169,66020.37992684652,88.02521
32,32.0,40947.29012096007,696863083602.9169,66020.37992684652,88.02521
33,33.0,62973.755915766786,696863083602.9169,73615.32990250284,103.82967
34,34.0,62973.755915766786,696863083602.9169,86332.03267866594,103.82967
35,35.0,62973.755915766786,696863083602.9169,80631.15622439604,103.82967
36,36.0,62973.755915766786,696863083602.9169,78282.80132200624,103.82967
37,37.0,62973.755915766786,696863083602.9169,102305.86036953979,103.82967
38,38.0,62973.755915766786,696863083602.9169,97473.20704864476,103.82967
39,39.0,62973.755915766786,696863083602.9169,104711.52012953455,103.82967
40,40.0,62973.755915766786,696863083602.9169,100909.72003367479,103.82967
41,41.0,62973.755915766786,696863083602.9169,98330.15375157661,103.82967
42,42.0,62973.755915766786,696863083602.9169,98638.38829594136,103.82967
43,43.0,62973.755915766786,696863083602.9169,100427.41806586811,103.82967
44,44.0,62973.755915766786,696863083602.9169,105797.70238952618,103.82967
45,45.0,62973.755915766786,696863083602.9169,88704.0808692537,103.82967
46,46.0,62973.755915766786,696863083602.9169,91814.97997442144,103.82967
47,47.0,62973.755915766786,696863083602.9169,109787.64230398281,103.82967
48,48.0,85000.2217105735,696863083602.9169,169661.78401918063,58.64864
49,49.0,85000.2217105735,696863069002.0448,169661.78401918063,58.64864
50,50.0,85000.2217105735,696863060407.352,169661.78401918063,58.64864
51,51.0,85000.2217105735,696863084271.3391,169661.78401918063,58.64864
52,52.0,85000.2217105735,696863030220.8702,169661.78401918063,58.64864
53,53.0,85000.2217105735,696863075338.303,169661.78401918063,58.64864
54,54.0,85000.2217105735,696863057327.7606,169661.78401918063,58.64864
55,55.0,85000.2217105735,696863066389.9164,169661.78401918063,58.64864
56,56.0,85000.2217105735,696863012372.8326,169661.78401918063,58.64864
57,57.0,85000.2217105735,696863086351.8726,169661.78401918063,58.64864
58,58.0,85000.2217105735,696863102826.5956,169661.78401918063,58.64864
59,59.0,88327.68937052565,696863265581.387,169661.78401918063,58.64864
60,60.0,87477.62810820664,696863265581.387,169661.78401918063,58.64864
61,61.0,87675.66775001843,696863265581.387,169661.78401918063,58.64864
62,62.0,81983.97908208374,696863265581.387,169661.78401918063,58.64864
63,63.0,89336.52534733691,696863265581.387,169661.78401918063,58.64864
64,64.0,111362.99114214363,696863265581.387,163459.55864800798,159.98492
65,65.0,111362.99114214363,696863265581.387,145432.9533195705,159.98492
66,66.0,111362.99114214363,696863265581.387,146695.51699293917,159.98492
67,67.0,111362.99114214363,696863265581.387,166726.18491896286,159.98492
68,68.0,111362.99114214363,696863265581.387,166179.24807751566,159.98492
69,69.0,111362.99114214363,696863335111.716,226053.38979271348,159.98492
70,70.0,111362.99114214363,696863344081.2251,226053.38979271348,159.98492
71,71.0,111362.99114214363,696863321020.5894,226053.38979271348,159.98492
72,72.0,111362.99114214363,696863351037.744,226053.38979271348,159.98492
73,73.0,111362.99114214363,696863324786.4294,226053.38979271348,159.98492
74,74.0,133389.45693695033,696863487541.2208,226053.38979271348,126.77819
75,75.0,133389.45693695033,696863487541.2208,245847.7286746532,126.77819
76,76.0,133389.45693695033,696863487541.2208,305721.870389851,103.72773
77,77.0,133389.45693695033,696863466752.4395,305721.870389851,103.72773
78,78.0,133389.45693695033,696863488620.8799,305721.870389851,103.72773
79,79.0,133389.45693695033,696863549785.737,305721.870389851,103.72773
80,80.0,133389.45693695033,696863582143.6844,305721.870389851,103.72773
81,81.0,133389.45693695033,696863598486.7122,305721.870389851,103.72773
82,82.0,133389.45693695033,696863761241.5035,365596.0121050488,58.30527
83,83.0,133389.45693695033,696863735176.2756,365596.0121050488,58.30527
84,84.0,133389.45693695033,696863728721.8097,365596.0121050488,58.30527
85,85.0,133389.45693695033,696863735828.1915,365596.0121050488,58.30527
86,86.0,133389.45693695033,696863714726.7324,365596.0121050488,58.30527
87,87.0,133389.45693695033,696863725225.686,365596.0121050488,58.30527
88,88.0,133389.45693695033,696863749504.5023,365596.0121050488,58.30527
89,89.0,133389.45693695033,696863758977.0752,365596.0121050488,58.30527
90,90.0,133389.45693695033,696863806471.3671,365596.0121050488,58.30527
91,91.0,133389.45693695033,696863826698.2488,365596.0121050488,58.30527
92,92.0,133389.45693695033,696863862288.905,365596.0121050488,58.30527
93,93.0,133389.45693695033,696864025043.6964,375376.6505861167,58.30527
94,94.0,133389.45693695033,696864025043.6964,391803.7638182476,58.30527
95,95.0,133389.45693695033,696864025043.6964,391060.58917784475,58.30527
96,96.0,133389.45693695033,696864025043.6964,391593.5183204096,58.30527
97,97.0,133389.45693695033,696864025043.6964,408587.2327240729,58.30527
98,98.0,155415.92273175705,696864025043.6964,468461.3744392707,52.11133
99,99.0,177442.38852656377,696864025043.6964,468461.3744392707,42.94946
100,100.0,177442.38852656377,696863997809.4481,468461.3744392707,42.94946
101,101.0,177442.38852656377,696864036794.2512,468461.3744392707,42.94946
102,102.0,177442.38852656377,696864031559.3254,468461.3744392707,42.94946
103,103.0,177442.38852656377,696864103554.6786,468461.3744392707,42.94946
104,104.0,177442.38852656377,696864115315.8889,468461.3744392707,42.94946
105,105.0,177442.38852656377,696864094304.891,468461.3744392707,42.94946
106,106.0,177442.38852656377,696864098130.9666,468461.3744392707,42.94946
107,107.0,177442.38852656377,696864097345.723,468461.3744392707,42.94946
108,108.0,177442.38852656377,696864084005.1233,468461.3744392707,42.94946
109,109.0,177442.38852656377,696864129690.3776,468461.3744392707,42.94946
110,110.0,177442.38852656377,696864292445.169,488570.0360001285,42.94946
111,111.0,177442.38852656377,696864292445.169,486562.6529755614,42.94946
