time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	bound_ecolipol	1800.000000	0.000000	0.000000
0.000000	bound_ribosome	100.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
4.999946	__gene_A*_rbs	0.000000	0.000000	0.000000
4.999946	__gene_A_rbs	0.000000	0.000000	0.000000
4.999946	__gene_B_rbs	0.000000	0.000000	0.000000
4.999946	__gene_C_rbs	0.000000	0.000000	0.000000
4.999946	__gene_D_rbs	1.000000	0.000000	0.000000
4.999946	__gene_E_rbs	0.000000	0.000000	0.000000
4.999946	__gene_F_rbs	0.000000	0.000000	0.000000
4.999946	__gene_G_rbs	0.000000	0.000000	0.000000
4.999946	__gene_H_rbs	0.000000	0.000000	0.000000
4.999946	__gene_J_rbs	0.000000	0.000000	0.000000
4.999946	__gene_K_rbs	0.000000	0.000000	0.000000
4.999946	__ribosome	97.000000	0.000000	0.000000
4.999946	bound_ecolipol	1599.000000	0.000000	0.000000
4.999946	bound_ribosome	100.000000	0.000000	0.000000
4.999946	ecoli_genome	201.000000	0.000000	0.000000
4.999946	ecoli_transcript	353.000000	0.000000	0.000000
4.999946	ecolipol	195.000000	0.000000	0.000000
4.999946	gene_D	0.000000	1.000000	3.000000
4.999946	promoter_A	1.000000	0.000000	0.000000
4.999946	promoter_B1	0.000000	0.000000	0.000000
4.999946	promoter_D	1.000000	0.000000	0.000000
9.999460	__gene_A*_rbs	0.000000	0.000000	0.000000
9.999460	__gene_A_rbs	0.000000	0.000000	0.000000
9.999460	__gene_B_rbs	1.000000	0.000000	0.000000
9.999460	__gene_C_rbs	0.000000	0.000000	0.000000
9.999460	__gene_D_rbs	1.000000	0.000000	0.000000
9.999460	__gene_E_rbs	0.000000	0.000000	0.000000
9.999460	__gene_F_rbs	0.000000	0.000000	0.000000
9.999460	__gene_G_rbs	0.000000	0.000000	0.000000
9.999460	__gene_H_rbs	0.000000	0.000000	0.000000
9.999460	__gene_J_rbs	0.000000	0.000000	0.000000
9.999460	__gene_K_rbs	0.000000	0.000000	0.000000
9.999460	__ribosome	82.000000	0.000000	0.000000
9.999460	bound_ecolipol	1606.000000	0.000000	0.000000
9.999460	bound_ribosome	100.000000	0.000000	0.000000
9.999460	ecoli_genome	194.000000	0.000000	0.000000
9.999460	ecoli_transcript	667.000000	0.000000	0.000000
9.999460	ecolipol	182.000000	0.000000	0.000000
9.999460	gene_B	0.000000	2.000000	1.500000
9.999460	gene_D	0.000000	4.000000	3.500000
9.999460	gene_E	0.000000	1.000000	1.000000
9.999460	promoter_A	1.000000	0.000000	0.000000
9.999460	promoter_B1	0.000000	0.000000	0.000000
9.999460	promoter_D	1.000000	0.000000	0.000000
14.999566	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999566	__gene_A_rbs	1.000000	0.000000	0.000000
14.999566	__gene_B_rbs	3.000000	0.000000	0.000000
14.999566	__gene_C_rbs	0.000000	0.000000	0.000000
14.999566	__gene_D_rbs	4.000000	0.000000	0.000000
14.999566	__gene_E_rbs	3.000000	0.000000	0.000000
14.999566	__gene_F_rbs	0.000000	0.000000	0.000000
14.999566	__gene_G_rbs	0.000000	0.000000	0.000000
14.999566	__gene_H_rbs	0.000000	0.000000	0.000000
14.999566	__gene_J_rbs	0.000000	0.000000	0.000000
14.999566	__gene_K_rbs	0.000000	0.000000	0.000000
14.999566	__ribosome	46.000000	0.000000	0.000000
14.999566	bound_ecolipol	1583.000000	0.000000	0.000000
14.999566	bound_ribosome	100.000000	0.000000	0.000000
