time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	bound_ecolipol	1800.000000	0.000000	0.000000
0.000000	bound_ribosome	100.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
5.004726	__gene_A*_rbs	0.000000	0.000000	0.000000
5.004726	__gene_A_rbs	0.000000	0.000000	0.000000
5.004726	__gene_B_rbs	0.000000	0.000000	0.000000
5.004726	__gene_C_rbs	0.000000	0.000000	0.000000
5.004726	__gene_D_rbs	3.000000	0.000000	0.000000
5.004726	__gene_E_rbs	0.000000	0.000000	0.000000
5.004726	__gene_F_rbs	0.000000	0.000000	0.000000
5.004726	__gene_G_rbs	0.000000	0.000000	0.000000
5.004726	__gene_H_rbs	0.000000	0.000000	0.000000
5.004726	__gene_J_rbs	0.000000	0.000000	0.000000
5.004726	__gene_K_rbs	0.000000	0.000000	0.000000
5.004726	__ribosome	96.000000	0.000000	0.000000
5.004726	bound_ecolipol	1612.000000	0.000000	0.000000
5.004726	bound_ribosome	100.000000	0.000000	0.000000
5.004726	ecoli_genome	188.000000	0.000000	0.000000
5.004726	ecoli_transcript	346.000000	0.000000	0.000000
5.004726	ecolipol	184.000000	0.000000	0.000000
5.004726	gene_D	0.000000	3.000000	1.333333
5.004726	promoter_A	1.000000	0.000000	0.000000
5.004726	promoter_B1	1.000000	0.000000	0.000000
5.004726	promoter_D	0.000000	0.000000	0.000000
9.999333	__gene_A*_rbs	0.000000	0.000000	0.000000
9.999333	__gene_A_rbs	0.000000	0.000000	0.000000
9.999333	__gene_B_rbs	0.000000	0.000000	0.000000
9.999333	__gene_C_rbs	0.000000	0.000000	0.000000
9.999333	__gene_D_rbs	3.000000	0.000000	0.000000
9.999333	__gene_E_rbs	0.000000	0.000000	0.000000
9.999333	__gene_F_rbs	0.000000	0.000000	0.000000
9.999333	__gene_G_rbs	0.000000	0.000000	0.000000
9.999333	__gene_H_rbs	0.000000	0.000000	0.000000
9.999333	__gene_J_rbs	0.000000	0.000000	0.000000
9.999333	__gene_K_rbs	0.000000	0.000000	0.000000
9.999333	__ribosome	76.000000	0.000000	0.000000
9.999333	bound_ecolipol	1605.000000	0.000000	0.000000
9.999333	bound_ribosome	100.000000	0.000000	0.000000
9.999333	ecoli_genome	195.000000	0.000000	0.000000
9.999333	ecoli_transcript	640.000000	0.000000	0.000000
9.999333	ecolipol	189.000000	0.000000	0.000000
9.999333	gene_D	0.000000	5.000000	4.400000
9.999333	gene_E	0.000000	2.000000	1.000000
9.999333	promoter_A	1.000000	0.000000	0.000000
9.999333	promoter_B1	1.000000	0.000000	0.000000
9.999333	promoter_D	0.000000	0.000000	0.000000
14.999093	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999093	__gene_A_rbs	0.000000	0.000000	0.000000
14.999093	__gene_B_rbs	0.000000	0.000000	0.000000
14.999093	__gene_C_rbs	0.000000	0.000000	0.000000
14.999093	__gene_D_rbs	3.000000	0.000000	0.000000
14.999093	__gene_E_rbs	1.000000	0.000000	0.000000
14.999093	__gene_F_rbs	0.000000	0.000000	0.000000
14.999093	__gene_G_rbs	0.000000	0.000000	0.000000
14.999093	__gene_H_rbs	0.000000	0.000000	0.000000
14.999093	__gene_J_rbs	0.000000	0.000000	0.000000
14.999093	__gene_K_rbs	0.000000	0.000000	0.000000
14.999093	__ribosome	50.000000	0.000000	0.000000
14.999093	bound_ecolipol	1598.000000	0.000000	0.000000
14.999093	bound_ribosome	100.000000	0.000000	0.000000
14.999093	ecoli_genome	202.000000	0.000000	0.000000
