time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	bound_ecolipol	1800.000000	0.000000	0.000000
0.000000	bound_ribosome	100.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
4.999551	__gene_A*_rbs	0.000000	0.000000	0.000000
4.999551	__gene_A_rbs	0.000000	0.000000	0.000000
4.999551	__gene_B_rbs	0.000000	0.000000	0.000000
4.999551	__gene_C_rbs	0.000000	0.000000	0.000000
4.999551	__gene_D_rbs	1.000000	0.000000	0.000000
4.999551	__gene_E_rbs	0.000000	0.000000	0.000000
4.999551	__gene_F_rbs	0.000000	0.000000	0.000000
4.999551	__gene_G_rbs	0.000000	0.000000	0.000000
4.999551	__gene_H_rbs	0.000000	0.000000	0.000000
4.999551	__gene_J_rbs	0.000000	0.000000	0.000000
4.999551	__gene_K_rbs	0.000000	0.000000	0.000000
4.999551	__ribosome	97.000000	0.000000	0.000000
4.999551	bound_ecolipol	1597.000000	0.000000	0.000000
4.999551	bound_ribosome	100.000000	0.000000	0.000000
4.999551	ecoli_genome	203.000000	0.000000	0.000000
4.999551	ecoli_transcript	355.000000	0.000000	0.000000
4.999551	ecolipol	197.000000	0.000000	0.000000
4.999551	gene_D	0.000000	1.000000	3.000000
4.999551	promoter_A	1.000000	0.000000	0.000000
4.999551	promoter_B	0.000000	0.000000	0.000000
4.999551	promoter_D	1.000000	0.000000	0.000000
10.000355	__gene_A*_rbs	0.000000	0.000000	0.000000
10.000355	__gene_A_rbs	1.000000	0.000000	0.000000
10.000355	__gene_B_rbs	1.000000	0.000000	0.000000
10.000355	__gene_C_rbs	0.000000	0.000000	0.000000
10.000355	__gene_D_rbs	3.000000	0.000000	0.000000
10.000355	__gene_E_rbs	0.000000	0.000000	0.000000
10.000355	__gene_F_rbs	0.000000	0.000000	0.000000
10.000355	__gene_G_rbs	0.000000	0.000000	0.000000
10.000355	__gene_H_rbs	0.000000	0.000000	0.000000
10.000355	__gene_J_rbs	0.000000	0.000000	0.000000
10.000355	__gene_K_rbs	0.000000	0.000000	0.000000
10.000355	__ribosome	77.000000	0.000000	0.000000
10.000355	bound_ecolipol	1593.000000	0.000000	0.000000
10.000355	bound_ribosome	100.000000	0.000000	0.000000
10.000355	ecoli_genome	207.000000	0.000000	0.000000
10.000355	ecoli_transcript	660.000000	0.000000	0.000000
10.000355	ecolipol	192.000000	0.000000	0.000000
10.000355	gene_A	0.000000	2.000000	1.500000
10.000355	gene_B	0.000000	2.000000	2.000000
10.000355	gene_D	0.000000	4.000000	3.250000
10.000355	gene_E	0.000000	1.000000	3.000000
10.000355	promoter_A	0.000000	0.000000	0.000000
10.000355	promoter_B	0.000000	0.000000	0.000000
10.000355	promoter_D	1.000000	0.000000	0.000000
14.999005	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999005	__gene_A_rbs	3.000000	0.000000	0.000000
14.999005	__gene_B_rbs	4.000000	0.000000	0.000000
14.999005	__gene_C_rbs	0.000000	0.000000	0.000000
14.999005	__gene_D_rbs	3.000000	0.000000	0.000000
14.999005	__gene_E_rbs	2.000000	0.000000	0.000000
14.999005	__gene_F_rbs	0.000000	0.000000	0.000000
14.999005	__gene_G_rbs	0.000000	0.000000	0.000000
14.999005	__gene_H_rbs	0.000000	0.000000	0.000000
14.999005	__gene_J_rbs	0.000000	0.000000	0.000000
14.999005	__gene_K_rbs	0.000000	0.000000	0.000000
14.999005	__ribosome	34.000000	0.000000	0.000000
14.999005	bound_ecolipol	1573.000000	0.000000	0.000000
