time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	30.000000	0.000000	0.000000
0.000000	bound_ecolipol	1800.000000	0.000000	0.000000
0.000000	bound_ribosome	10000.000000	0.000000	0.000000
0.000000	degraded_transcript	0.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
5.000080	__gene_A*_rbs	0.000000	0.000000	0.000000
5.000080	__gene_A_rbs	0.000000	0.000000	0.000000
5.000080	__gene_B_rbs	0.000000	0.000000	0.000000
5.000080	__gene_C_rbs	0.000000	0.000000	0.000000
5.000080	__gene_D_rbs	0.000000	0.000000	0.000000
5.000080	__gene_E_rbs	0.000000	0.000000	0.000000
5.000080	__gene_F_rbs	0.000000	0.000000	0.000000
5.000080	__gene_G_rbs	0.000000	0.000000	0.000000
5.000080	__gene_H_rbs	0.000000	0.000000	0.000000
5.000080	__gene_J_rbs	0.000000	0.000000	0.000000
5.000080	__gene_K_rbs	0.000000	0.000000	0.000000
5.000080	__ribosome	372.000000	0.000000	0.000000
5.000080	bound_ecolipol	1733.000000	0.000000	0.000000
5.000080	bound_ribosome	9654.000000	0.000000	0.000000
5.000080	degraded_transcript	3.000000	0.000000	0.000000
5.000080	ecoli_genome	67.000000	0.000000	0.000000
5.000080	ecoli_transcript	691.000000	0.000000	0.000000
5.000080	ecolipol	62.000000	0.000000	0.000000
5.000080	gene_D	0.000000	2.000000	2.000000
5.000080	promoter_A	0.000000	0.000000	0.000000
5.000080	promoter_B1	1.000000	0.000000	0.000000
5.000080	promoter_D	0.000000	0.000000	0.000000
9.999325	__gene_A*_rbs	0.000000	0.000000	0.000000
9.999325	__gene_A_rbs	0.000000	0.000000	0.000000
9.999325	__gene_B_rbs	0.000000	0.000000	0.000000
9.999325	__gene_C_rbs	0.000000	0.000000	0.000000
9.999325	__gene_D_rbs	0.000000	0.000000	0.000000
9.999325	__gene_E_rbs	0.000000	0.000000	0.000000
9.999325	__gene_F_rbs	0.000000	0.000000	0.000000
9.999325	__gene_G_rbs	0.000000	0.000000	0.000000
9.999325	__gene_H_rbs	0.000000	0.000000	0.000000
9.999325	__gene_J_rbs	0.000000	0.000000	0.000000
9.999325	__gene_K_rbs	0.000000	0.000000	0.000000
9.999325	__ribosome	288.000000	0.000000	0.000000
9.999325	bound_ecolipol	1724.000000	0.000000	0.000000
9.999325	bound_ribosome	9716.000000	0.000000	0.000000
9.999325	degraded_transcript	9.000000	0.000000	0.000000
9.999325	ecoli_genome	76.000000	0.000000	0.000000
9.999325	ecoli_transcript	975.000000	0.000000	0.000000
9.999325	ecolipol	67.000000	0.000000	0.000000
9.999325	gene_D	0.000000	4.000000	6.500000
9.999325	promoter_A	1.000000	0.000000	0.000000
9.999325	promoter_B1	1.000000	0.000000	0.000000
9.999325	promoter_D	0.000000	0.000000	0.000000
14.999144	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999144	__gene_A_rbs	0.000000	0.000000	0.000000
14.999144	__gene_B_rbs	0.000000	0.000000	0.000000
14.999144	__gene_C_rbs	0.000000	0.000000	0.000000
14.999144	__gene_D_rbs	4.000000	0.000000	0.000000
14.999144	__gene_E_rbs	0.000000	0.000000	0.000000
14.999144	__gene_F_rbs	0.000000	0.000000	0.000000
14.999144	__gene_G_rbs	0.000000	0.000000	0.000000
14.999144	__gene_H_rbs	0.000000	0.000000	0.000000
14.999144	__gene_J_rbs	0.000000	0.000000	0.000000
14.999144	__gene_K_rbs	0.000000	0.000000	0.000000
14.999144	__ribosome	215.000000	0.000000	0.000000
