time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	30.000000	0.000000	0.000000
0.000000	bound_ecolipol	1800.000000	0.000000	0.000000
0.000000	bound_ribosome	10000.000000	0.000000	0.000000
0.000000	degraded_transcript	0.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
5.000715	__gene_A*_rbs	0.000000	0.000000	0.000000
5.000715	__gene_A_rbs	0.000000	0.000000	0.000000
5.000715	__gene_B_rbs	0.000000	0.000000	0.000000
5.000715	__gene_C_rbs	0.000000	0.000000	0.000000
5.000715	__gene_D_rbs	0.000000	0.000000	0.000000
5.000715	__gene_E_rbs	0.000000	0.000000	0.000000
5.000715	__gene_F_rbs	0.000000	0.000000	0.000000
5.000715	__gene_G_rbs	0.000000	0.000000	0.000000
5.000715	__gene_H_rbs	0.000000	0.000000	0.000000
5.000715	__gene_J_rbs	0.000000	0.000000	0.000000
5.000715	__gene_K_rbs	0.000000	0.000000	0.000000
5.000715	__ribosome	374.000000	0.000000	0.000000
5.000715	bound_ecolipol	1734.000000	0.000000	0.000000
5.000715	bound_ribosome	9651.000000	0.000000	0.000000
5.000715	degraded_transcript	9.000000	0.000000	0.000000
5.000715	ecoli_genome	66.000000	0.000000	0.000000
5.000715	ecoli_transcript	704.000000	0.000000	0.000000
5.000715	ecolipol	64.000000	0.000000	0.000000
5.000715	gene_D	0.000000	2.000000	2.500000
5.000715	promoter_A	1.000000	0.000000	0.000000
5.000715	promoter_B1	1.000000	0.000000	0.000000
5.000715	promoter_D	1.000000	0.000000	0.000000
10.000409	__gene_A*_rbs	0.000000	0.000000	0.000000
10.000409	__gene_A_rbs	0.000000	0.000000	0.000000
10.000409	__gene_B_rbs	0.000000	0.000000	0.000000
10.000409	__gene_C_rbs	0.000000	0.000000	0.000000
10.000409	__gene_D_rbs	1.000000	0.000000	0.000000
10.000409	__gene_E_rbs	0.000000	0.000000	0.000000
10.000409	__gene_F_rbs	0.000000	0.000000	0.000000
10.000409	__gene_G_rbs	0.000000	0.000000	0.000000
10.000409	__gene_H_rbs	0.000000	0.000000	0.000000
10.000409	__gene_J_rbs	0.000000	0.000000	0.000000
10.000409	__gene_K_rbs	0.000000	0.000000	0.000000
10.000409	__ribosome	263.000000	0.000000	0.000000
10.000409	bound_ecolipol	1729.000000	0.000000	0.000000
10.000409	bound_ribosome	9740.000000	0.000000	0.000000
10.000409	degraded_transcript	14.000000	0.000000	0.000000
10.000409	ecoli_genome	71.000000	0.000000	0.000000
10.000409	ecoli_transcript	944.000000	0.000000	0.000000
10.000409	ecolipol	66.000000	0.000000	0.000000
10.000409	gene_D	0.000000	4.000000	5.750000
10.000409	gene_E	0.000000	2.000000	2.000000
10.000409	promoter_A	1.000000	0.000000	0.000000
10.000409	promoter_B1	1.000000	0.000000	0.000000
10.000409	promoter_D	1.000000	0.000000	0.000000
14.999736	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999736	__gene_A_rbs	0.000000	0.000000	0.000000
14.999736	__gene_B_rbs	0.000000	0.000000	0.000000
14.999736	__gene_C_rbs	0.000000	0.000000	0.000000
14.999736	__gene_D_rbs	1.000000	0.000000	0.000000
14.999736	__gene_E_rbs	1.000000	0.000000	0.000000
14.999736	__gene_F_rbs	0.000000	0.000000	0.000000
14.999736	__gene_G_rbs	0.000000	0.000000	0.000000
14.999736	__gene_H_rbs	0.000000	0.000000	0.000000
14.999736	__gene_J_rbs	0.000000	0.000000	0.000000
14.999736	__gene_K_rbs	0.000000	0.000000	0.000000
14.999736	__ribosome	202.000000	0.000000	0.000000
