time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	30.000000	0.000000	0.000000
0.000000	bound_ecolipol	1800.000000	0.000000	0.000000
0.000000	bound_ribosome	10000.000000	0.000000	0.000000
0.000000	degraded_transcript	0.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
4.999717	__gene_A*_rbs	0.000000	0.000000	0.000000
4.999717	__gene_A_rbs	0.000000	0.000000	0.000000
4.999717	__gene_B_rbs	0.000000	0.000000	0.000000
4.999717	__gene_C_rbs	0.000000	0.000000	0.000000
4.999717	__gene_D_rbs	0.000000	0.000000	0.000000
4.999717	__gene_E_rbs	0.000000	0.000000	0.000000
4.999717	__gene_F_rbs	0.000000	0.000000	0.000000
4.999717	__gene_G_rbs	0.000000	0.000000	0.000000
4.999717	__gene_H_rbs	0.000000	0.000000	0.000000
4.999717	__gene_J_rbs	0.000000	0.000000	0.000000
4.999717	__gene_K_rbs	0.000000	0.000000	0.000000
4.999717	__ribosome	389.000000	0.000000	0.000000
4.999717	bound_ecolipol	1733.000000	0.000000	0.000000
4.999717	bound_ribosome	9633.000000	0.000000	0.000000
4.999717	degraded_transcript	4.000000	0.000000	0.000000
4.999717	ecoli_genome	67.000000	0.000000	0.000000
4.999717	ecoli_transcript	695.000000	0.000000	0.000000
4.999717	ecolipol	63.000000	0.000000	0.000000
4.999717	gene_D	0.000000	2.000000	4.000000
4.999717	promoter_A	1.000000	0.000000	0.000000
4.999717	promoter_B1	1.000000	0.000000	0.000000
4.999717	promoter_D	0.000000	0.000000	0.000000
10.000171	__gene_A*_rbs	0.000000	0.000000	0.000000
10.000171	__gene_A_rbs	0.000000	0.000000	0.000000
10.000171	__gene_B_rbs	1.000000	0.000000	0.000000
10.000171	__gene_C_rbs	0.000000	0.000000	0.000000
10.000171	__gene_D_rbs	1.000000	0.000000	0.000000
10.000171	__gene_E_rbs	1.000000	0.000000	0.000000
10.000171	__gene_F_rbs	0.000000	0.000000	0.000000
10.000171	__gene_G_rbs	0.000000	0.000000	0.000000
10.000171	__gene_H_rbs	0.000000	0.000000	0.000000
10.000171	__gene_J_rbs	0.000000	0.000000	0.000000
10.000171	__gene_K_rbs	0.000000	0.000000	0.000000
10.000171	__ribosome	268.000000	0.000000	0.000000
10.000171	bound_ecolipol	1729.000000	0.000000	0.000000
10.000171	bound_ribosome	9724.000000	0.000000	0.000000
10.000171	degraded_transcript	14.000000	0.000000	0.000000
10.000171	ecoli_genome	71.000000	0.000000	0.000000
10.000171	ecoli_transcript	921.000000	0.000000	0.000000
10.000171	ecolipol	63.000000	0.000000	0.000000
10.000171	gene_B	0.000000	1.000000	1.000000
10.000171	gene_D	0.000000	5.000000	6.800000
10.000171	gene_E	0.000000	3.000000	1.000000
10.000171	promoter_A	1.000000	0.000000	0.000000
10.000171	promoter_B1	0.000000	0.000000	0.000000
10.000171	promoter_D	0.000000	0.000000	0.000000
14.999153	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999153	__gene_A_rbs	0.000000	0.000000	0.000000
14.999153	__gene_B_rbs	1.000000	0.000000	0.000000
14.999153	__gene_C_rbs	0.000000	0.000000	0.000000
14.999153	__gene_D_rbs	3.000000	0.000000	0.000000
14.999153	__gene_E_rbs	1.000000	0.000000	0.000000
14.999153	__gene_F_rbs	0.000000	0.000000	0.000000
14.999153	__gene_G_rbs	0.000000	0.000000	0.000000
14.999153	__gene_H_rbs	0.000000	0.000000	0.000000
14.999153	__gene_J_rbs	1.000000	0.000000	0.000000
14.999153	__gene_K_rbs	0.000000	0.000000	0.000000
