time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	30.000000	0.000000	0.000000
0.000000	bound_ecolipol	1800.000000	0.000000	0.000000
0.000000	bound_ribosome	10000.000000	0.000000	0.000000
0.000000	degraded_transcript	0.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
5.000560	__gene_A*_rbs	0.000000	0.000000	0.000000
5.000560	__gene_A_rbs	1.000000	0.000000	0.000000
5.000560	__gene_B_rbs	0.000000	0.000000	0.000000
5.000560	__gene_C_rbs	0.000000	0.000000	0.000000
5.000560	__gene_D_rbs	2.000000	0.000000	0.000000
5.000560	__gene_E_rbs	0.000000	0.000000	0.000000
5.000560	__gene_F_rbs	0.000000	0.000000	0.000000
5.000560	__gene_G_rbs	0.000000	0.000000	0.000000
5.000560	__gene_H_rbs	0.000000	0.000000	0.000000
5.000560	__gene_J_rbs	0.000000	0.000000	0.000000
5.000560	__gene_K_rbs	0.000000	0.000000	0.000000
5.000560	__ribosome	370.000000	0.000000	0.000000
5.000560	bound_ecolipol	1727.000000	0.000000	0.000000
5.000560	bound_ribosome	9639.000000	0.000000	0.000000
5.000560	degraded_transcript	5.000000	0.000000	0.000000
5.000560	ecoli_genome	73.000000	0.000000	0.000000
5.000560	ecoli_transcript	698.000000	0.000000	0.000000
5.000560	ecolipol	65.000000	0.000000	0.000000
5.000560	gene_A	0.000000	3.000000	4.333333
5.000560	gene_D	0.000000	2.000000	4.000000
5.000560	promoter_A	1.000000	0.000000	0.000000
5.000560	promoter_B1	0.000000	0.000000	0.000000
5.000560	promoter_D	0.000000	0.000000	0.000000
9.999336	__gene_A*_rbs	0.000000	0.000000	0.000000
9.999336	__gene_A_rbs	3.000000	0.000000	0.000000
9.999336	__gene_B_rbs	0.000000	0.000000	0.000000
9.999336	__gene_C_rbs	0.000000	0.000000	0.000000
9.999336	__gene_D_rbs	3.000000	0.000000	0.000000
9.999336	__gene_E_rbs	0.000000	0.000000	0.000000
9.999336	__gene_F_rbs	0.000000	0.000000	0.000000
9.999336	__gene_G_rbs	0.000000	0.000000	0.000000
9.999336	__gene_H_rbs	0.000000	0.000000	0.000000
9.999336	__gene_J_rbs	0.000000	0.000000	0.000000
9.999336	__gene_K_rbs	0.000000	0.000000	0.000000
9.999336	__ribosome	257.000000	0.000000	0.000000
9.999336	bound_ecolipol	1726.000000	0.000000	0.000000
9.999336	bound_ribosome	9687.000000	0.000000	0.000000
9.999336	degraded_transcript	14.000000	0.000000	0.000000
9.999336	ecoli_genome	74.000000	0.000000	0.000000
9.999336	ecoli_transcript	983.000000	0.000000	0.000000
9.999336	ecolipol	58.000000	0.000000	0.000000
9.999336	gene_A	0.000000	5.000000	8.000000
9.999336	gene_B	0.000000	1.000000	4.000000
9.999336	gene_D	0.000000	6.000000	6.166667
9.999336	gene_E	0.000000	2.000000	2.500000
9.999336	promoter_A	0.000000	0.000000	0.000000
9.999336	promoter_B1	1.000000	0.000000	0.000000
9.999336	promoter_D	0.000000	0.000000	0.000000
14.999148	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999148	__gene_A_rbs	3.000000	0.000000	0.000000
14.999148	__gene_B_rbs	1.000000	0.000000	0.000000
14.999148	__gene_C_rbs	0.000000	0.000000	0.000000
14.999148	__gene_D_rbs	4.000000	0.000000	0.000000
14.999148	__gene_E_rbs	0.000000	0.000000	0.000000
14.999148	__gene_F_rbs	0.000000	0.000000	0.000000
14.999148	__gene_G_rbs	0.000000	0.000000	0.000000
14.999148	__gene_H_rbs	0.000000	0.000000	0.000000
