time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	30.000000	0.000000	0.000000
0.000000	bound_ecolipol	1800.000000	0.000000	0.000000
0.000000	bound_ribosome	10000.000000	0.000000	0.000000
0.000000	degraded_transcript	0.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
0.000000	promoter_btss49	1.000000	0.000000	0.000000
4.999017	__gene_A*_rbs	0.000000	0.000000	0.000000
4.999017	__gene_A_rbs	0.000000	0.000000	0.000000
4.999017	__gene_B_rbs	0.000000	0.000000	0.000000
4.999017	__gene_C_rbs	1.000000	0.000000	0.000000
4.999017	__gene_D_rbs	0.000000	0.000000	0.000000
4.999017	__gene_E_rbs	0.000000	0.000000	0.000000
4.999017	__gene_F_rbs	0.000000	0.000000	0.000000
4.999017	__gene_G_rbs	0.000000	0.000000	0.000000
4.999017	__gene_H_rbs	0.000000	0.000000	0.000000
4.999017	__gene_J_rbs	0.000000	0.000000	0.000000
4.999017	__gene_K_rbs	0.000000	0.000000	0.000000
4.999017	__ribosome	384.000000	0.000000	0.000000
4.999017	bound_ecolipol	1736.000000	0.000000	0.000000
4.999017	bound_ribosome	9638.000000	0.000000	0.000000
4.999017	degraded_transcript	7.000000	0.000000	0.000000
4.999017	ecoli_genome	64.000000	0.000000	0.000000
4.999017	ecoli_transcript	700.000000	0.000000	0.000000
4.999017	ecolipol	60.000000	0.000000	0.000000
4.999017	gene_C	0.000000	1.000000	2.000000
4.999017	gene_D	0.000000	2.000000	3.000000
4.999017	promoter_A	1.000000	0.000000	0.000000
4.999017	promoter_B1	1.000000	0.000000	0.000000
4.999017	promoter_D	0.000000	0.000000	0.000000
4.999017	promoter_btss49	1.000000	0.000000	0.000000
9.999277	__gene_A*_rbs	0.000000	0.000000	0.000000
9.999277	__gene_A_rbs	0.000000	0.000000	0.000000
9.999277	__gene_B_rbs	0.000000	0.000000	0.000000
9.999277	__gene_C_rbs	1.000000	0.000000	0.000000
9.999277	__gene_D_rbs	2.000000	0.000000	0.000000
9.999277	__gene_E_rbs	0.000000	0.000000	0.000000
9.999277	__gene_F_rbs	0.000000	0.000000	0.000000
9.999277	__gene_G_rbs	0.000000	0.000000	0.000000
9.999277	__gene_H_rbs	0.000000	0.000000	0.000000
9.999277	__gene_J_rbs	0.000000	0.000000	0.000000
9.999277	__gene_K_rbs	0.000000	0.000000	0.000000
9.999277	__ribosome	303.000000	0.000000	0.000000
9.999277	bound_ecolipol	1735.000000	0.000000	0.000000
9.999277	bound_ribosome	9679.000000	0.000000	0.000000
9.999277	degraded_transcript	12.000000	0.000000	0.000000
9.999277	ecoli_genome	65.000000	0.000000	0.000000
9.999277	ecoli_transcript	1003.000000	0.000000	0.000000
9.999277	ecolipol	57.000000	0.000000	0.000000
9.999277	gene_C	0.000000	1.000000	8.000000
9.999277	gene_D	0.000000	5.000000	7.000000
9.999277	gene_E	0.000000	3.000000	1.666667
9.999277	promoter_A	1.000000	0.000000	0.000000
9.999277	promoter_B1	1.000000	0.000000	0.000000
9.999277	promoter_D	0.000000	0.000000	0.000000
9.999277	promoter_btss49	1.000000	0.000000	0.000000
14.999303	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999303	__gene_A_rbs	0.000000	0.000000	0.000000
14.999303	__gene_B_rbs	0.000000	0.000000	0.000000
14.999303	__gene_C_rbs	0.000000	0.000000	0.000000
14.999303	__gene_D_rbs	2.000000	0.000000	0.000000
14.999303	__gene_E_rbs	0.000000	0.000000	0.000000
14.999303	__gene_F_rbs	0.000000	0.000000	0.000000
