"","...1","gen","pA","pB","pD","tJ","tF","tG","tH","error","min_error","sim","final_min_error"
"1",3423,3423,15.4301334196674,1.39869715797162,26.4203803038599,0.314059574284158,0.559631068031594,0.556791699561455,0.656062518274062,2104.02505,2104.02505,13,2104.02505
"2",3406,3406,11.5855698684243,1.37485276718466,16.7991351724781,0.34125804796236,0.278308816529982,0.929948487041218,0.683830517558132,2158.02908,2158.02908,7,2158.02908
"3",3792,3792,7.89446740995532,1.45116633790558,15.1458976497331,0.163671798359371,0.631810967154971,0.97158315409743,0.4846228638979,2222.80442,2222.80442,8,2222.80442
"4",1750,1750,13.6822356912657,2.00530754053193,21.3042991049068,0.338113011856394,0.471902705287655,0.119040330326735,0.705343376446187,2270.2417,2270.2417,19,2270.2417
"5",3990,3990,9.10694373643563,2.15918114031023,20.7855031623414,0.290707070470526,0.522650634444606,0.864386169445791,0.627650231109676,2350.3538,2350.3538,15,2350.3538
"6",2631,2631,9.7225927447809,2.70927936796705,26.9897358907284,0.405528551369106,0.556826331776268,0.157183528750501,0.656405118922217,2439.08245,2439.08245,17,2439.08245
"7",3917,3917,7.21556810704736,1.87409682220458,10.9622916738632,0.340538066113535,0.478888971112305,0.282474626133548,0.557427282655,2469.53521,2469.53521,12,2469.53521
"8",3459,3459,15.305569622342,2.45624930639199,14.2263225295157,0.29904726374175,0.508937060057211,0.197116733072577,0.690705034551007,2508.3086,2508.3086,4,2508.3086
"9",3610,3610,9.32141452901754,2.79516776331394,16.1856003873853,0.265237058266425,0.707187548499663,0.20901710930208,0.476831533686859,2572.24238,2572.24238,2,2572.24238
"10",2487,2487,11.3933859880885,3.37593911371338,15.5860513049496,0.235862903374356,0.616993582849161,0.526207551351426,0.607240788240863,2617.42531,2617.42531,6,2617.42531
"11",3424,3424,11.2621661368832,3.16057445502511,12.6023196962247,0.380629459354157,0.277853104114105,0.199662879685028,0.580273591940561,2755.39624,2755.39624,18,2755.39624
"12",3937,3937,10.4626869737708,3.45910821173163,11.3905329250823,0.201956253433435,0.363558334786871,0.284879196670621,0.612434845802494,2824.85881,2824.85881,11,2824.85881
"13",1860,1860,14.7862025655883,5.03880403234306,16.4521772014506,0.325534758172703,0.5168788316256,0.71188118438809,0.634456272445085,2894.19542,2894.19542,1,2894.19542
"14",3978,3978,4.36697863278116,4.34051847214369,15.0878481543204,0.329083993204927,0.45945228706399,0.183149311207185,0.191989056004507,2915.10703,2915.10703,5,2915.10703
"15",3953,3953,12.9245653756521,3.80588879669663,14.8554818488454,0.191030558481504,0.649012655525691,0.875205557376665,0.424161852506773,2936.71966,2936.71966,16,2936.71966
"16",3988,3988,10.6642521726559,4.07026248748592,14.2511768812431,0.375531777573274,0.931164526678522,0.890046813858512,0.677020101460329,3000.87074,3000.87074,3,3000.87074
"17",3988,3988,10.9958890871857,4.6425867007664,10.1557091698823,0.351150627415281,0.534604043191433,0.58834248185944,0.34068834399655,3235.60526,3235.60526,14,3235.60526
"18",3936,3936,8.62474010762815,4.6410835333119,7.97676194441177,0.342792936770032,0.354907843853633,0.98330130691838,0.208134314483472,3296.19258,3296.19258,9,3296.19258
"19",2734,2734,10.2740743374853,8.14096389123643,14.9590653307173,0.00862782324594221,0.528151254088143,0.594639233229771,0.10758660990348,3473.50252,3473.50252,20,3473.50252
"20",3127,3127,11.7335482612157,7.82306594128485,12.8478503424907,0.272740947495697,0.907096529149523,0.428488937719355,0.326476363503246,3553.32407,3553.32407,10,3553.32407
