time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	30.000000	0.000000	0.000000
0.000000	bound_ecolipol	1800.000000	0.000000	0.000000
0.000000	bound_ribosome	10000.000000	0.000000	0.000000
0.000000	degraded_transcript	0.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
4.999742	__gene_A*_rbs	0.000000	0.000000	0.000000
4.999742	__gene_A_rbs	0.000000	0.000000	0.000000
4.999742	__gene_B_rbs	0.000000	0.000000	0.000000
4.999742	__gene_C_rbs	0.000000	0.000000	0.000000
4.999742	__gene_D_rbs	0.000000	0.000000	0.000000
4.999742	__gene_E_rbs	0.000000	0.000000	0.000000
4.999742	__gene_F_rbs	0.000000	0.000000	0.000000
4.999742	__gene_G_rbs	0.000000	0.000000	0.000000
4.999742	__gene_H_rbs	0.000000	0.000000	0.000000
4.999742	__gene_J_rbs	0.000000	0.000000	0.000000
4.999742	__gene_K_rbs	0.000000	0.000000	0.000000
4.999742	__ribosome	389.000000	0.000000	0.000000
4.999742	bound_ecolipol	1730.000000	0.000000	0.000000
4.999742	bound_ribosome	9634.000000	0.000000	0.000000
4.999742	degraded_transcript	4.000000	0.000000	0.000000
4.999742	ecoli_genome	70.000000	0.000000	0.000000
4.999742	ecoli_transcript	698.000000	0.000000	0.000000
4.999742	ecolipol	64.000000	0.000000	0.000000
4.999742	gene_D	0.000000	2.000000	3.500000
4.999742	promoter_A	0.000000	0.000000	0.000000
4.999742	promoter_B1	1.000000	0.000000	0.000000
4.999742	promoter_D	0.000000	0.000000	0.000000
9.999278	__gene_A*_rbs	0.000000	0.000000	0.000000
9.999278	__gene_A_rbs	0.000000	0.000000	0.000000
9.999278	__gene_B_rbs	0.000000	0.000000	0.000000
9.999278	__gene_C_rbs	0.000000	0.000000	0.000000
9.999278	__gene_D_rbs	3.000000	0.000000	0.000000
9.999278	__gene_E_rbs	0.000000	0.000000	0.000000
9.999278	__gene_F_rbs	0.000000	0.000000	0.000000
9.999278	__gene_G_rbs	0.000000	0.000000	0.000000
9.999278	__gene_H_rbs	0.000000	0.000000	0.000000
9.999278	__gene_J_rbs	0.000000	0.000000	0.000000
9.999278	__gene_K_rbs	0.000000	0.000000	0.000000
9.999278	__ribosome	290.000000	0.000000	0.000000
9.999278	bound_ecolipol	1727.000000	0.000000	0.000000
9.999278	bound_ribosome	9699.000000	0.000000	0.000000
9.999278	degraded_transcript	7.000000	0.000000	0.000000
9.999278	ecoli_genome	73.000000	0.000000	0.000000
9.999278	ecoli_transcript	966.000000	0.000000	0.000000
9.999278	ecolipol	61.000000	0.000000	0.000000
9.999278	gene_A	0.000000	1.000000	5.000000
9.999278	gene_B	0.000000	2.000000	1.500000
9.999278	gene_D	0.000000	5.000000	6.200000
9.999278	gene_E	0.000000	1.000000	2.000000
9.999278	promoter_A	0.000000	0.000000	0.000000
9.999278	promoter_B1	0.000000	0.000000	0.000000
9.999278	promoter_D	0.000000	0.000000	0.000000
14.999740	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999740	__gene_A_rbs	1.000000	0.000000	0.000000
14.999740	__gene_B_rbs	1.000000	0.000000	0.000000
14.999740	__gene_C_rbs	0.000000	0.000000	0.000000
14.999740	__gene_D_rbs	2.000000	0.000000	0.000000
14.999740	__gene_E_rbs	1.000000	0.000000	0.000000
14.999740	__gene_F_rbs	0.000000	0.000000	0.000000
14.999740	__gene_G_rbs	0.000000	0.000000	0.000000
14.999740	__gene_H_rbs	0.000000	0.000000	0.000000
14.999740	__gene_J_rbs	0.000000	0.000000	0.000000
