time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	bound_ecolipol	2000.000000	0.000000	0.000000
0.000000	bound_ribosome	100.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
5.001033	__gene_A*_rbs	0.000000	0.000000	0.000000
5.001033	__gene_A_rbs	1.000000	0.000000	0.000000
5.001033	__gene_B_rbs	0.000000	0.000000	0.000000
5.001033	__gene_C_rbs	0.000000	0.000000	0.000000
5.001033	__gene_D_rbs	3.000000	0.000000	0.000000
5.001033	__gene_E_rbs	0.000000	0.000000	0.000000
5.001033	__gene_F_rbs	0.000000	0.000000	0.000000
5.001033	__gene_G_rbs	0.000000	0.000000	0.000000
5.001033	__gene_H_rbs	0.000000	0.000000	0.000000
5.001033	__gene_J_rbs	0.000000	0.000000	0.000000
5.001033	__gene_K_rbs	0.000000	0.000000	0.000000
5.001033	__ribosome	93.000000	0.000000	0.000000
5.001033	bound_ecolipol	1919.000000	0.000000	0.000000
5.001033	bound_ribosome	100.000000	0.000000	0.000000
5.001033	ecoli_genome	81.000000	0.000000	0.000000
5.001033	ecoli_transcript	382.000000	0.000000	0.000000
5.001033	ecolipol	73.000000	0.000000	0.000000
5.001033	gene_A	0.000000	1.000000	1.000000
5.001033	gene_D	0.000000	3.000000	2.000000
5.001033	promoter_A	1.000000	0.000000	0.000000
5.001033	promoter_B1	0.000000	0.000000	0.000000
5.001033	promoter_D	0.000000	0.000000	0.000000
10.000287	__gene_A*_rbs	0.000000	0.000000	0.000000
10.000287	__gene_A_rbs	1.000000	0.000000	0.000000
10.000287	__gene_B_rbs	2.000000	0.000000	0.000000
10.000287	__gene_C_rbs	0.000000	0.000000	0.000000
10.000287	__gene_D_rbs	5.000000	0.000000	0.000000
10.000287	__gene_E_rbs	1.000000	0.000000	0.000000
10.000287	__gene_F_rbs	0.000000	0.000000	0.000000
10.000287	__gene_G_rbs	0.000000	0.000000	0.000000
10.000287	__gene_H_rbs	0.000000	0.000000	0.000000
10.000287	__gene_J_rbs	0.000000	0.000000	0.000000
10.000287	__gene_K_rbs	0.000000	0.000000	0.000000
10.000287	__ribosome	66.000000	0.000000	0.000000
10.000287	bound_ecolipol	1922.000000	0.000000	0.000000
10.000287	bound_ribosome	100.000000	0.000000	0.000000
10.000287	ecoli_genome	78.000000	0.000000	0.000000
10.000287	ecoli_transcript	783.000000	0.000000	0.000000
10.000287	ecolipol	63.000000	0.000000	0.000000
10.000287	gene_A	0.000000	3.000000	2.333333
10.000287	gene_B	0.000000	2.000000	1.000000
10.000287	gene_D	0.000000	6.000000	4.000000
10.000287	gene_E	0.000000	3.000000	0.333333
10.000287	promoter_A	1.000000	0.000000	0.000000
10.000287	promoter_B1	0.000000	0.000000	0.000000
10.000287	promoter_D	0.000000	0.000000	0.000000
15.000463	__gene_A*_rbs	0.000000	0.000000	0.000000
15.000463	__gene_A_rbs	2.000000	0.000000	0.000000
15.000463	__gene_B_rbs	4.000000	0.000000	0.000000
15.000463	__gene_C_rbs	0.000000	0.000000	0.000000
15.000463	__gene_D_rbs	7.000000	0.000000	0.000000
15.000463	__gene_E_rbs	3.000000	0.000000	0.000000
15.000463	__gene_F_rbs	0.000000	0.000000	0.000000
15.000463	__gene_G_rbs	0.000000	0.000000	0.000000
15.000463	__gene_H_rbs	0.000000	0.000000	0.000000
15.000463	__gene_J_rbs	1.000000	0.000000	0.000000
15.000463	__gene_K_rbs	0.000000	0.000000	0.000000
15.000463	__ribosome	26.000000	0.000000	0.000000
