time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	bound_ecolipol	2000.000000	0.000000	0.000000
0.000000	bound_ribosome	100.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
5.001363	__gene_A*_rbs	0.000000	0.000000	0.000000
5.001363	__gene_A_rbs	0.000000	0.000000	0.000000
5.001363	__gene_B_rbs	0.000000	0.000000	0.000000
5.001363	__gene_C_rbs	0.000000	0.000000	0.000000
5.001363	__gene_D_rbs	1.000000	0.000000	0.000000
5.001363	__gene_E_rbs	0.000000	0.000000	0.000000
5.001363	__gene_F_rbs	0.000000	0.000000	0.000000
5.001363	__gene_G_rbs	0.000000	0.000000	0.000000
5.001363	__gene_H_rbs	0.000000	0.000000	0.000000
5.001363	__gene_J_rbs	0.000000	0.000000	0.000000
5.001363	__gene_K_rbs	0.000000	0.000000	0.000000
5.001363	__ribosome	94.000000	0.000000	0.000000
5.001363	bound_ecolipol	1930.000000	0.000000	0.000000
5.001363	bound_ribosome	100.000000	0.000000	0.000000
5.001363	ecoli_genome	70.000000	0.000000	0.000000
5.001363	ecoli_transcript	386.000000	0.000000	0.000000
5.001363	ecolipol	65.000000	0.000000	0.000000
5.001363	gene_D	0.000000	3.000000	2.000000
5.001363	promoter_A	1.000000	0.000000	0.000000
5.001363	promoter_B1	0.000000	0.000000	0.000000
5.001363	promoter_D	0.000000	0.000000	0.000000
9.999471	__gene_A*_rbs	0.000000	0.000000	0.000000
9.999471	__gene_A_rbs	1.000000	0.000000	0.000000
9.999471	__gene_B_rbs	0.000000	0.000000	0.000000
9.999471	__gene_C_rbs	0.000000	0.000000	0.000000
9.999471	__gene_D_rbs	2.000000	0.000000	0.000000
9.999471	__gene_E_rbs	0.000000	0.000000	0.000000
9.999471	__gene_F_rbs	0.000000	0.000000	0.000000
9.999471	__gene_G_rbs	0.000000	0.000000	0.000000
9.999471	__gene_H_rbs	0.000000	0.000000	0.000000
9.999471	__gene_J_rbs	0.000000	0.000000	0.000000
9.999471	__gene_K_rbs	0.000000	0.000000	0.000000
9.999471	__ribosome	73.000000	0.000000	0.000000
9.999471	bound_ecolipol	1918.000000	0.000000	0.000000
9.999471	bound_ribosome	100.000000	0.000000	0.000000
9.999471	ecoli_genome	82.000000	0.000000	0.000000
9.999471	ecoli_transcript	774.000000	0.000000	0.000000
9.999471	ecolipol	73.000000	0.000000	0.000000
9.999471	gene_A	0.000000	1.000000	1.000000
9.999471	gene_D	0.000000	6.000000	4.333333
9.999471	promoter_A	1.000000	0.000000	0.000000
9.999471	promoter_B1	1.000000	0.000000	0.000000
9.999471	promoter_D	0.000000	0.000000	0.000000
14.999392	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999392	__gene_A_rbs	0.000000	0.000000	0.000000
14.999392	__gene_B_rbs	0.000000	0.000000	0.000000
14.999392	__gene_C_rbs	0.000000	0.000000	0.000000
14.999392	__gene_D_rbs	5.000000	0.000000	0.000000
14.999392	__gene_E_rbs	0.000000	0.000000	0.000000
14.999392	__gene_F_rbs	0.000000	0.000000	0.000000
14.999392	__gene_G_rbs	0.000000	0.000000	0.000000
14.999392	__gene_H_rbs	0.000000	0.000000	0.000000
14.999392	__gene_J_rbs	0.000000	0.000000	0.000000
14.999392	__gene_K_rbs	0.000000	0.000000	0.000000
14.999392	__ribosome	48.000000	0.000000	0.000000
14.999392	bound_ecolipol	1929.000000	0.000000	0.000000
14.999392	bound_ribosome	100.000000	0.000000	0.000000
14.999392	ecoli_genome	71.000000	0.000000	0.000000
