time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	bound_ecolipol	2000.000000	0.000000	0.000000
0.000000	bound_ribosome	100.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
4.999097	__gene_A*_rbs	0.000000	0.000000	0.000000
4.999097	__gene_A_rbs	0.000000	0.000000	0.000000
4.999097	__gene_B_rbs	0.000000	0.000000	0.000000
4.999097	__gene_C_rbs	0.000000	0.000000	0.000000
4.999097	__gene_D_rbs	0.000000	0.000000	0.000000
4.999097	__gene_E_rbs	0.000000	0.000000	0.000000
4.999097	__gene_F_rbs	0.000000	0.000000	0.000000
4.999097	__gene_G_rbs	0.000000	0.000000	0.000000
4.999097	__gene_H_rbs	0.000000	0.000000	0.000000
4.999097	__gene_J_rbs	0.000000	0.000000	0.000000
4.999097	__gene_K_rbs	0.000000	0.000000	0.000000
4.999097	__ribosome	93.000000	0.000000	0.000000
4.999097	bound_ecolipol	1926.000000	0.000000	0.000000
4.999097	bound_ribosome	100.000000	0.000000	0.000000
4.999097	ecoli_genome	74.000000	0.000000	0.000000
4.999097	ecoli_transcript	394.000000	0.000000	0.000000
4.999097	ecolipol	69.000000	0.000000	0.000000
4.999097	gene_D	0.000000	3.000000	2.333333
4.999097	promoter_A	1.000000	0.000000	0.000000
4.999097	promoter_B1	1.000000	0.000000	0.000000
4.999097	promoter_D	0.000000	0.000000	0.000000
10.001247	__gene_A*_rbs	0.000000	0.000000	0.000000
10.001247	__gene_A_rbs	0.000000	0.000000	0.000000
10.001247	__gene_B_rbs	0.000000	0.000000	0.000000
10.001247	__gene_C_rbs	0.000000	0.000000	0.000000
10.001247	__gene_D_rbs	3.000000	0.000000	0.000000
10.001247	__gene_E_rbs	0.000000	0.000000	0.000000
10.001247	__gene_F_rbs	0.000000	0.000000	0.000000
10.001247	__gene_G_rbs	0.000000	0.000000	0.000000
10.001247	__gene_H_rbs	0.000000	0.000000	0.000000
10.001247	__gene_J_rbs	0.000000	0.000000	0.000000
10.001247	__gene_K_rbs	0.000000	0.000000	0.000000
10.001247	__ribosome	72.000000	0.000000	0.000000
10.001247	bound_ecolipol	1919.000000	0.000000	0.000000
10.001247	bound_ribosome	100.000000	0.000000	0.000000
10.001247	ecoli_genome	81.000000	0.000000	0.000000
10.001247	ecoli_transcript	782.000000	0.000000	0.000000
10.001247	ecolipol	73.000000	0.000000	0.000000
10.001247	gene_D	0.000000	5.000000	5.600000
10.001247	promoter_A	1.000000	0.000000	0.000000
10.001247	promoter_B1	0.000000	0.000000	0.000000
10.001247	promoter_D	1.000000	0.000000	0.000000
14.999236	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999236	__gene_A_rbs	0.000000	0.000000	0.000000
14.999236	__gene_B_rbs	0.000000	0.000000	0.000000
14.999236	__gene_C_rbs	0.000000	0.000000	0.000000
14.999236	__gene_D_rbs	6.000000	0.000000	0.000000
14.999236	__gene_E_rbs	0.000000	0.000000	0.000000
14.999236	__gene_F_rbs	0.000000	0.000000	0.000000
14.999236	__gene_G_rbs	0.000000	0.000000	0.000000
14.999236	__gene_H_rbs	0.000000	0.000000	0.000000
14.999236	__gene_J_rbs	0.000000	0.000000	0.000000
14.999236	__gene_K_rbs	0.000000	0.000000	0.000000
14.999236	__ribosome	48.000000	0.000000	0.000000
14.999236	bound_ecolipol	1923.000000	0.000000	0.000000
14.999236	bound_ribosome	100.000000	0.000000	0.000000
14.999236	ecoli_genome	77.000000	0.000000	0.000000
