time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	30.000000	0.000000	0.000000
0.000000	bound_ecolipol	1800.000000	0.000000	0.000000
0.000000	bound_ribosome	10000.000000	0.000000	0.000000
0.000000	degraded_transcript	0.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
4.999948	__gene_A*_rbs	0.000000	0.000000	0.000000
4.999948	__gene_A_rbs	0.000000	0.000000	0.000000
4.999948	__gene_B_rbs	0.000000	0.000000	0.000000
4.999948	__gene_C_rbs	0.000000	0.000000	0.000000
4.999948	__gene_D_rbs	0.000000	0.000000	0.000000
4.999948	__gene_E_rbs	0.000000	0.000000	0.000000
4.999948	__gene_F_rbs	0.000000	0.000000	0.000000
4.999948	__gene_G_rbs	0.000000	0.000000	0.000000
4.999948	__gene_H_rbs	0.000000	0.000000	0.000000
4.999948	__gene_J_rbs	0.000000	0.000000	0.000000
4.999948	__gene_K_rbs	0.000000	0.000000	0.000000
4.999948	__ribosome	374.000000	0.000000	0.000000
4.999948	bound_ecolipol	1730.000000	0.000000	0.000000
4.999948	bound_ribosome	9650.000000	0.000000	0.000000
4.999948	degraded_transcript	3.000000	0.000000	0.000000
4.999948	ecoli_genome	70.000000	0.000000	0.000000
4.999948	ecoli_transcript	718.000000	0.000000	0.000000
4.999948	ecolipol	66.000000	0.000000	0.000000
4.999948	gene_D	0.000000	2.000000	3.000000
4.999948	promoter_A	1.000000	0.000000	0.000000
4.999948	promoter_B1	0.000000	0.000000	0.000000
4.999948	promoter_D	0.000000	0.000000	0.000000
10.000126	__gene_A*_rbs	0.000000	0.000000	0.000000
10.000126	__gene_A_rbs	0.000000	0.000000	0.000000
10.000126	__gene_B_rbs	0.000000	0.000000	0.000000
10.000126	__gene_C_rbs	0.000000	0.000000	0.000000
10.000126	__gene_D_rbs	1.000000	0.000000	0.000000
10.000126	__gene_E_rbs	1.000000	0.000000	0.000000
10.000126	__gene_F_rbs	0.000000	0.000000	0.000000
10.000126	__gene_G_rbs	0.000000	0.000000	0.000000
10.000126	__gene_H_rbs	0.000000	0.000000	0.000000
10.000126	__gene_J_rbs	0.000000	0.000000	0.000000
10.000126	__gene_K_rbs	0.000000	0.000000	0.000000
10.000126	__ribosome	273.000000	0.000000	0.000000
10.000126	bound_ecolipol	1713.000000	0.000000	0.000000
10.000126	bound_ribosome	9721.000000	0.000000	0.000000
10.000126	degraded_transcript	10.000000	0.000000	0.000000
10.000126	ecoli_genome	87.000000	0.000000	0.000000
10.000126	ecoli_transcript	997.000000	0.000000	0.000000
10.000126	ecolipol	78.000000	0.000000	0.000000
10.000126	gene_D	0.000000	5.000000	6.800000
10.000126	gene_E	0.000000	2.000000	1.000000
10.000126	promoter_A	1.000000	0.000000	0.000000
10.000126	promoter_B1	0.000000	0.000000	0.000000
10.000126	promoter_D	0.000000	0.000000	0.000000
14.999283	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999283	__gene_A_rbs	0.000000	0.000000	0.000000
14.999283	__gene_B_rbs	0.000000	0.000000	0.000000
14.999283	__gene_C_rbs	0.000000	0.000000	0.000000
14.999283	__gene_D_rbs	3.000000	0.000000	0.000000
14.999283	__gene_E_rbs	0.000000	0.000000	0.000000
14.999283	__gene_F_rbs	0.000000	0.000000	0.000000
14.999283	__gene_G_rbs	0.000000	0.000000	0.000000
14.999283	__gene_H_rbs	0.000000	0.000000	0.000000
14.999283	__gene_J_rbs	0.000000	0.000000	0.000000
14.999283	__gene_K_rbs	0.000000	0.000000	0.000000
14.999283	__ribosome	204.000000	0.000000	0.000000
