time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	30.000000	0.000000	0.000000
0.000000	bound_ecolipol	1800.000000	0.000000	0.000000
0.000000	bound_ribosome	10000.000000	0.000000	0.000000
0.000000	degraded_transcript	0.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
4.999350	__gene_A*_rbs	0.000000	0.000000	0.000000
4.999350	__gene_A_rbs	1.000000	0.000000	0.000000
4.999350	__gene_B_rbs	0.000000	0.000000	0.000000
4.999350	__gene_C_rbs	0.000000	0.000000	0.000000
4.999350	__gene_D_rbs	1.000000	0.000000	0.000000
4.999350	__gene_E_rbs	0.000000	0.000000	0.000000
4.999350	__gene_F_rbs	0.000000	0.000000	0.000000
4.999350	__gene_G_rbs	0.000000	0.000000	0.000000
4.999350	__gene_H_rbs	0.000000	0.000000	0.000000
4.999350	__gene_J_rbs	0.000000	0.000000	0.000000
4.999350	__gene_K_rbs	0.000000	0.000000	0.000000
4.999350	__ribosome	359.000000	0.000000	0.000000
4.999350	bound_ecolipol	1725.000000	0.000000	0.000000
4.999350	bound_ribosome	9657.000000	0.000000	0.000000
4.999350	degraded_transcript	12.000000	0.000000	0.000000
4.999350	ecoli_genome	75.000000	0.000000	0.000000
4.999350	ecoli_transcript	677.000000	0.000000	0.000000
4.999350	ecolipol	66.000000	0.000000	0.000000
4.999350	gene_A	0.000000	3.000000	2.666667
4.999350	gene_D	0.000000	3.000000	2.000000
4.999350	promoter_A	0.000000	0.000000	0.000000
4.999350	promoter_B1	1.000000	0.000000	0.000000
4.999350	promoter_D	0.000000	0.000000	0.000000
9.999822	__gene_A*_rbs	0.000000	0.000000	0.000000
9.999822	__gene_A_rbs	0.000000	0.000000	0.000000
9.999822	__gene_B_rbs	1.000000	0.000000	0.000000
9.999822	__gene_C_rbs	0.000000	0.000000	0.000000
9.999822	__gene_D_rbs	3.000000	0.000000	0.000000
9.999822	__gene_E_rbs	1.000000	0.000000	0.000000
9.999822	__gene_F_rbs	0.000000	0.000000	0.000000
9.999822	__gene_G_rbs	0.000000	0.000000	0.000000
9.999822	__gene_H_rbs	0.000000	0.000000	0.000000
9.999822	__gene_J_rbs	0.000000	0.000000	0.000000
9.999822	__gene_K_rbs	0.000000	0.000000	0.000000
9.999822	__ribosome	272.000000	0.000000	0.000000
9.999822	bound_ecolipol	1715.000000	0.000000	0.000000
9.999822	bound_ribosome	9684.000000	0.000000	0.000000
9.999822	degraded_transcript	20.000000	0.000000	0.000000
9.999822	ecoli_genome	85.000000	0.000000	0.000000
9.999822	ecoli_transcript	1007.000000	0.000000	0.000000
9.999822	ecolipol	70.000000	0.000000	0.000000
9.999822	gene_A	0.000000	4.000000	8.000000
9.999822	gene_B	0.000000	2.000000	2.000000
9.999822	gene_D	0.000000	6.000000	5.666667
9.999822	gene_E	0.000000	3.000000	1.333333
9.999822	promoter_A	0.000000	0.000000	0.000000
9.999822	promoter_B1	1.000000	0.000000	0.000000
9.999822	promoter_D	0.000000	0.000000	0.000000
14.999084	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999084	__gene_A_rbs	2.000000	0.000000	0.000000
14.999084	__gene_B_rbs	2.000000	0.000000	0.000000
14.999084	__gene_C_rbs	0.000000	0.000000	0.000000
14.999084	__gene_D_rbs	5.000000	0.000000	0.000000
14.999084	__gene_E_rbs	0.000000	0.000000	0.000000
14.999084	__gene_F_rbs	0.000000	0.000000	0.000000
14.999084	__gene_G_rbs	0.000000	0.000000	0.000000
14.999084	__gene_H_rbs	0.000000	0.000000	0.000000
