time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	30.000000	0.000000	0.000000
0.000000	bound_ecolipol	1800.000000	0.000000	0.000000
0.000000	bound_ribosome	10000.000000	0.000000	0.000000
0.000000	degraded_transcript	0.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
5.000686	__gene_A*_rbs	0.000000	0.000000	0.000000
5.000686	__gene_A_rbs	0.000000	0.000000	0.000000
5.000686	__gene_B_rbs	0.000000	0.000000	0.000000
5.000686	__gene_C_rbs	0.000000	0.000000	0.000000
5.000686	__gene_D_rbs	0.000000	0.000000	0.000000
5.000686	__gene_E_rbs	0.000000	0.000000	0.000000
5.000686	__gene_F_rbs	0.000000	0.000000	0.000000
5.000686	__gene_G_rbs	0.000000	0.000000	0.000000
5.000686	__gene_H_rbs	0.000000	0.000000	0.000000
5.000686	__gene_J_rbs	0.000000	0.000000	0.000000
5.000686	__gene_K_rbs	0.000000	0.000000	0.000000
5.000686	__ribosome	371.000000	0.000000	0.000000
5.000686	bound_ecolipol	1728.000000	0.000000	0.000000
5.000686	bound_ribosome	9652.000000	0.000000	0.000000
5.000686	degraded_transcript	4.000000	0.000000	0.000000
5.000686	ecoli_genome	72.000000	0.000000	0.000000
5.000686	ecoli_transcript	704.000000	0.000000	0.000000
5.000686	ecolipol	67.000000	0.000000	0.000000
5.000686	gene_D	0.000000	3.000000	2.333333
5.000686	promoter_A	0.000000	0.000000	0.000000
5.000686	promoter_B1	0.000000	0.000000	0.000000
5.000686	promoter_D	1.000000	0.000000	0.000000
9.999343	__gene_A*_rbs	0.000000	0.000000	0.000000
9.999343	__gene_A_rbs	0.000000	0.000000	0.000000
9.999343	__gene_B_rbs	0.000000	0.000000	0.000000
9.999343	__gene_C_rbs	0.000000	0.000000	0.000000
9.999343	__gene_D_rbs	2.000000	0.000000	0.000000
9.999343	__gene_E_rbs	0.000000	0.000000	0.000000
9.999343	__gene_F_rbs	0.000000	0.000000	0.000000
9.999343	__gene_G_rbs	0.000000	0.000000	0.000000
9.999343	__gene_H_rbs	0.000000	0.000000	0.000000
9.999343	__gene_J_rbs	0.000000	0.000000	0.000000
9.999343	__gene_K_rbs	0.000000	0.000000	0.000000
9.999343	__ribosome	279.000000	0.000000	0.000000
9.999343	bound_ecolipol	1726.000000	0.000000	0.000000
9.999343	bound_ribosome	9715.000000	0.000000	0.000000
9.999343	degraded_transcript	14.000000	0.000000	0.000000
9.999343	ecoli_genome	74.000000	0.000000	0.000000
9.999343	ecoli_transcript	959.000000	0.000000	0.000000
9.999343	ecolipol	66.000000	0.000000	0.000000
9.999343	gene_D	0.000000	5.000000	6.600000
9.999343	gene_E	0.000000	1.000000	3.000000
9.999343	promoter_A	1.000000	0.000000	0.000000
9.999343	promoter_B1	1.000000	0.000000	0.000000
9.999343	promoter_D	0.000000	0.000000	0.000000
14.999670	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999670	__gene_A_rbs	0.000000	0.000000	0.000000
14.999670	__gene_B_rbs	1.000000	0.000000	0.000000
14.999670	__gene_C_rbs	0.000000	0.000000	0.000000
14.999670	__gene_D_rbs	5.000000	0.000000	0.000000
14.999670	__gene_E_rbs	1.000000	0.000000	0.000000
14.999670	__gene_F_rbs	0.000000	0.000000	0.000000
14.999670	__gene_G_rbs	0.000000	0.000000	0.000000
14.999670	__gene_H_rbs	0.000000	0.000000	0.000000
14.999670	__gene_J_rbs	1.000000	0.000000	0.000000
14.999670	__gene_K_rbs	0.000000	0.000000	0.000000
14.999670	__ribosome	205.000000	0.000000	0.000000
