time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	30.000000	0.000000	0.000000
0.000000	bound_ecolipol	1800.000000	0.000000	0.000000
0.000000	bound_ribosome	10000.000000	0.000000	0.000000
0.000000	degraded_transcript	0.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
4.999597	__gene_A*_rbs	0.000000	0.000000	0.000000
4.999597	__gene_A_rbs	0.000000	0.000000	0.000000
4.999597	__gene_B_rbs	0.000000	0.000000	0.000000
4.999597	__gene_C_rbs	0.000000	0.000000	0.000000
4.999597	__gene_D_rbs	1.000000	0.000000	0.000000
4.999597	__gene_E_rbs	0.000000	0.000000	0.000000
4.999597	__gene_F_rbs	0.000000	0.000000	0.000000
4.999597	__gene_G_rbs	0.000000	0.000000	0.000000
4.999597	__gene_H_rbs	0.000000	0.000000	0.000000
4.999597	__gene_J_rbs	0.000000	0.000000	0.000000
4.999597	__gene_K_rbs	0.000000	0.000000	0.000000
4.999597	__ribosome	359.000000	0.000000	0.000000
4.999597	bound_ecolipol	1728.000000	0.000000	0.000000
4.999597	bound_ribosome	9664.000000	0.000000	0.000000
4.999597	degraded_transcript	4.000000	0.000000	0.000000
4.999597	ecoli_genome	72.000000	0.000000	0.000000
4.999597	ecoli_transcript	698.000000	0.000000	0.000000
4.999597	ecolipol	67.000000	0.000000	0.000000
4.999597	gene_D	0.000000	2.000000	3.500000
4.999597	promoter_A	1.000000	0.000000	0.000000
4.999597	promoter_B1	0.000000	0.000000	0.000000
4.999597	promoter_D	0.000000	0.000000	0.000000
9.999032	__gene_A*_rbs	0.000000	0.000000	0.000000
9.999032	__gene_A_rbs	0.000000	0.000000	0.000000
9.999032	__gene_B_rbs	0.000000	0.000000	0.000000
9.999032	__gene_C_rbs	0.000000	0.000000	0.000000
9.999032	__gene_D_rbs	0.000000	0.000000	0.000000
9.999032	__gene_E_rbs	1.000000	0.000000	0.000000
9.999032	__gene_F_rbs	0.000000	0.000000	0.000000
9.999032	__gene_G_rbs	0.000000	0.000000	0.000000
9.999032	__gene_H_rbs	0.000000	0.000000	0.000000
9.999032	__gene_J_rbs	0.000000	0.000000	0.000000
9.999032	__gene_K_rbs	0.000000	0.000000	0.000000
9.999032	__ribosome	286.000000	0.000000	0.000000
9.999032	bound_ecolipol	1728.000000	0.000000	0.000000
9.999032	bound_ribosome	9703.000000	0.000000	0.000000
9.999032	degraded_transcript	12.000000	0.000000	0.000000
9.999032	ecoli_genome	72.000000	0.000000	0.000000
9.999032	ecoli_transcript	983.000000	0.000000	0.000000
9.999032	ecolipol	63.000000	0.000000	0.000000
9.999032	gene_B	0.000000	1.000000	4.000000
9.999032	gene_D	0.000000	5.000000	7.000000
9.999032	gene_E	0.000000	2.000000	1.000000
9.999032	promoter_A	1.000000	0.000000	0.000000
9.999032	promoter_B1	0.000000	0.000000	0.000000
9.999032	promoter_D	0.000000	0.000000	0.000000
14.999835	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999835	__gene_A_rbs	0.000000	0.000000	0.000000
14.999835	__gene_B_rbs	1.000000	0.000000	0.000000
14.999835	__gene_C_rbs	0.000000	0.000000	0.000000
14.999835	__gene_D_rbs	4.000000	0.000000	0.000000
14.999835	__gene_E_rbs	0.000000	0.000000	0.000000
14.999835	__gene_F_rbs	0.000000	0.000000	0.000000
14.999835	__gene_G_rbs	0.000000	0.000000	0.000000
14.999835	__gene_H_rbs	0.000000	0.000000	0.000000
14.999835	__gene_J_rbs	0.000000	0.000000	0.000000
14.999835	__gene_K_rbs	0.000000	0.000000	0.000000
