time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	30.000000	0.000000	0.000000
0.000000	bound_ecolipol	1800.000000	0.000000	0.000000
0.000000	bound_ribosome	10000.000000	0.000000	0.000000
0.000000	degraded_transcript	0.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
4.999430	__gene_A*_rbs	0.000000	0.000000	0.000000
4.999430	__gene_A_rbs	0.000000	0.000000	0.000000
4.999430	__gene_B_rbs	0.000000	0.000000	0.000000
4.999430	__gene_C_rbs	0.000000	0.000000	0.000000
4.999430	__gene_D_rbs	0.000000	0.000000	0.000000
4.999430	__gene_E_rbs	0.000000	0.000000	0.000000
4.999430	__gene_F_rbs	0.000000	0.000000	0.000000
4.999430	__gene_G_rbs	0.000000	0.000000	0.000000
4.999430	__gene_H_rbs	0.000000	0.000000	0.000000
4.999430	__gene_J_rbs	0.000000	0.000000	0.000000
4.999430	__gene_K_rbs	0.000000	0.000000	0.000000
4.999430	__ribosome	355.000000	0.000000	0.000000
4.999430	bound_ecolipol	1735.000000	0.000000	0.000000
4.999430	bound_ribosome	9667.000000	0.000000	0.000000
4.999430	degraded_transcript	4.000000	0.000000	0.000000
4.999430	ecoli_genome	65.000000	0.000000	0.000000
4.999430	ecoli_transcript	696.000000	0.000000	0.000000
4.999430	ecolipol	61.000000	0.000000	0.000000
4.999430	gene_D	0.000000	2.000000	4.000000
4.999430	promoter_A	1.000000	0.000000	0.000000
4.999430	promoter_B1	1.000000	0.000000	0.000000
4.999430	promoter_D	0.000000	0.000000	0.000000
9.999175	__gene_A*_rbs	0.000000	0.000000	0.000000
9.999175	__gene_A_rbs	1.000000	0.000000	0.000000
9.999175	__gene_B_rbs	0.000000	0.000000	0.000000
9.999175	__gene_C_rbs	0.000000	0.000000	0.000000
9.999175	__gene_D_rbs	0.000000	0.000000	0.000000
9.999175	__gene_E_rbs	0.000000	0.000000	0.000000
9.999175	__gene_F_rbs	0.000000	0.000000	0.000000
9.999175	__gene_G_rbs	0.000000	0.000000	0.000000
9.999175	__gene_H_rbs	0.000000	0.000000	0.000000
9.999175	__gene_J_rbs	0.000000	0.000000	0.000000
9.999175	__gene_K_rbs	0.000000	0.000000	0.000000
9.999175	__ribosome	289.000000	0.000000	0.000000
9.999175	bound_ecolipol	1730.000000	0.000000	0.000000
9.999175	bound_ribosome	9701.000000	0.000000	0.000000
9.999175	degraded_transcript	15.000000	0.000000	0.000000
9.999175	ecoli_genome	70.000000	0.000000	0.000000
9.999175	ecoli_transcript	1003.000000	0.000000	0.000000
9.999175	ecolipol	62.000000	0.000000	0.000000
9.999175	gene_A	0.000000	1.000000	2.000000
9.999175	gene_B	0.000000	1.000000	2.000000
9.999175	gene_D	0.000000	5.000000	6.600000
9.999175	gene_E	0.000000	2.000000	1.500000
9.999175	promoter_A	1.000000	0.000000	0.000000
9.999175	promoter_B1	1.000000	0.000000	0.000000
9.999175	promoter_D	0.000000	0.000000	0.000000
14.999029	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999029	__gene_A_rbs	1.000000	0.000000	0.000000
14.999029	__gene_B_rbs	0.000000	0.000000	0.000000
14.999029	__gene_C_rbs	0.000000	0.000000	0.000000
14.999029	__gene_D_rbs	2.000000	0.000000	0.000000
14.999029	__gene_E_rbs	0.000000	0.000000	0.000000
14.999029	__gene_F_rbs	0.000000	0.000000	0.000000
14.999029	__gene_G_rbs	0.000000	0.000000	0.000000
14.999029	__gene_H_rbs	0.000000	0.000000	0.000000
14.999029	__gene_J_rbs	0.000000	0.000000	0.000000
