time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	30.000000	0.000000	0.000000
0.000000	bound_ecolipol	1800.000000	0.000000	0.000000
0.000000	bound_ribosome	10000.000000	0.000000	0.000000
0.000000	degraded_transcript	0.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
4.999062	__gene_A*_rbs	0.000000	0.000000	0.000000
4.999062	__gene_A_rbs	0.000000	0.000000	0.000000
4.999062	__gene_B_rbs	0.000000	0.000000	0.000000
4.999062	__gene_C_rbs	0.000000	0.000000	0.000000
4.999062	__gene_D_rbs	2.000000	0.000000	0.000000
4.999062	__gene_E_rbs	0.000000	0.000000	0.000000
4.999062	__gene_F_rbs	0.000000	0.000000	0.000000
4.999062	__gene_G_rbs	0.000000	0.000000	0.000000
4.999062	__gene_H_rbs	0.000000	0.000000	0.000000
4.999062	__gene_J_rbs	0.000000	0.000000	0.000000
4.999062	__gene_K_rbs	0.000000	0.000000	0.000000
4.999062	__ribosome	398.000000	0.000000	0.000000
4.999062	bound_ecolipol	1722.000000	0.000000	0.000000
4.999062	bound_ribosome	9623.000000	0.000000	0.000000
4.999062	degraded_transcript	11.000000	0.000000	0.000000
4.999062	ecoli_genome	78.000000	0.000000	0.000000
4.999062	ecoli_transcript	730.000000	0.000000	0.000000
4.999062	ecolipol	73.000000	0.000000	0.000000
4.999062	gene_D	0.000000	3.000000	3.000000
4.999062	promoter_A	1.000000	0.000000	0.000000
4.999062	promoter_B1	1.000000	0.000000	0.000000
4.999062	promoter_D	0.000000	0.000000	0.000000
9.999068	__gene_A*_rbs	0.000000	0.000000	0.000000
9.999068	__gene_A_rbs	0.000000	0.000000	0.000000
9.999068	__gene_B_rbs	0.000000	0.000000	0.000000
9.999068	__gene_C_rbs	0.000000	0.000000	0.000000
9.999068	__gene_D_rbs	1.000000	0.000000	0.000000
9.999068	__gene_E_rbs	0.000000	0.000000	0.000000
9.999068	__gene_F_rbs	0.000000	0.000000	0.000000
9.999068	__gene_G_rbs	0.000000	0.000000	0.000000
9.999068	__gene_H_rbs	0.000000	0.000000	0.000000
9.999068	__gene_J_rbs	0.000000	0.000000	0.000000
9.999068	__gene_K_rbs	0.000000	0.000000	0.000000
9.999068	__ribosome	279.000000	0.000000	0.000000
9.999068	bound_ecolipol	1728.000000	0.000000	0.000000
9.999068	bound_ribosome	9696.000000	0.000000	0.000000
9.999068	degraded_transcript	18.000000	0.000000	0.000000
9.999068	ecoli_genome	72.000000	0.000000	0.000000
9.999068	ecoli_transcript	1010.000000	0.000000	0.000000
9.999068	ecolipol	63.000000	0.000000	0.000000
9.999068	gene_A	0.000000	1.000000	3.000000
9.999068	gene_D	0.000000	6.000000	7.666667
9.999068	gene_E	0.000000	3.000000	2.000000
9.999068	promoter_A	1.000000	0.000000	0.000000
9.999068	promoter_B1	1.000000	0.000000	0.000000
9.999068	promoter_D	0.000000	0.000000	0.000000
14.999014	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999014	__gene_A_rbs	0.000000	0.000000	0.000000
14.999014	__gene_B_rbs	0.000000	0.000000	0.000000
14.999014	__gene_C_rbs	0.000000	0.000000	0.000000
14.999014	__gene_D_rbs	7.000000	0.000000	0.000000
14.999014	__gene_E_rbs	0.000000	0.000000	0.000000
14.999014	__gene_F_rbs	0.000000	0.000000	0.000000
14.999014	__gene_G_rbs	0.000000	0.000000	0.000000
14.999014	__gene_H_rbs	0.000000	0.000000	0.000000
14.999014	__gene_J_rbs	0.000000	0.000000	0.000000
14.999014	__gene_K_rbs	0.000000	0.000000	0.000000
