time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	30.000000	0.000000	0.000000
0.000000	bound_ecolipol	1800.000000	0.000000	0.000000
0.000000	bound_ribosome	10000.000000	0.000000	0.000000
0.000000	degraded_transcript	0.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
5.001011	__gene_A*_rbs	0.000000	0.000000	0.000000
5.001011	__gene_A_rbs	0.000000	0.000000	0.000000
5.001011	__gene_B_rbs	0.000000	0.000000	0.000000
5.001011	__gene_C_rbs	0.000000	0.000000	0.000000
5.001011	__gene_D_rbs	0.000000	0.000000	0.000000
5.001011	__gene_E_rbs	0.000000	0.000000	0.000000
5.001011	__gene_F_rbs	0.000000	0.000000	0.000000
5.001011	__gene_G_rbs	0.000000	0.000000	0.000000
5.001011	__gene_H_rbs	0.000000	0.000000	0.000000
5.001011	__gene_J_rbs	0.000000	0.000000	0.000000
5.001011	__gene_K_rbs	0.000000	0.000000	0.000000
5.001011	__ribosome	384.000000	0.000000	0.000000
5.001011	bound_ecolipol	1735.000000	0.000000	0.000000
5.001011	bound_ribosome	9646.000000	0.000000	0.000000
5.001011	degraded_transcript	4.000000	0.000000	0.000000
5.001011	ecoli_genome	65.000000	0.000000	0.000000
5.001011	ecoli_transcript	722.000000	0.000000	0.000000
5.001011	ecolipol	65.000000	0.000000	0.000000
5.001011	promoter_A	1.000000	0.000000	0.000000
5.001011	promoter_D	1.000000	0.000000	0.000000
9.999520	__gene_A*_rbs	0.000000	0.000000	0.000000
9.999520	__gene_A_rbs	0.000000	0.000000	0.000000
9.999520	__gene_B_rbs	0.000000	0.000000	0.000000
9.999520	__gene_C_rbs	0.000000	0.000000	0.000000
9.999520	__gene_D_rbs	0.000000	0.000000	0.000000
9.999520	__gene_E_rbs	0.000000	0.000000	0.000000
9.999520	__gene_F_rbs	0.000000	0.000000	0.000000
9.999520	__gene_G_rbs	0.000000	0.000000	0.000000
9.999520	__gene_H_rbs	0.000000	0.000000	0.000000
9.999520	__gene_J_rbs	0.000000	0.000000	0.000000
9.999520	__gene_K_rbs	0.000000	0.000000	0.000000
9.999520	__ribosome	269.000000	0.000000	0.000000
9.999520	bound_ecolipol	1739.000000	0.000000	0.000000
9.999520	bound_ribosome	9761.000000	0.000000	0.000000
9.999520	degraded_transcript	10.000000	0.000000	0.000000
9.999520	ecoli_genome	61.000000	0.000000	0.000000
9.999520	ecoli_transcript	925.000000	0.000000	0.000000
9.999520	ecolipol	61.000000	0.000000	0.000000
9.999520	promoter_A	1.000000	0.000000	0.000000
9.999520	promoter_D	1.000000	0.000000	0.000000
14.999737	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999737	__gene_A_rbs	0.000000	0.000000	0.000000
14.999737	__gene_B_rbs	0.000000	0.000000	0.000000
14.999737	__gene_C_rbs	0.000000	0.000000	0.000000
14.999737	__gene_D_rbs	0.000000	0.000000	0.000000
14.999737	__gene_E_rbs	0.000000	0.000000	0.000000
14.999737	__gene_F_rbs	0.000000	0.000000	0.000000
14.999737	__gene_G_rbs	0.000000	0.000000	0.000000
14.999737	__gene_H_rbs	0.000000	0.000000	0.000000
14.999737	__gene_J_rbs	0.000000	0.000000	0.000000
14.999737	__gene_K_rbs	0.000000	0.000000	0.000000
14.999737	__ribosome	221.000000	0.000000	0.000000
14.999737	bound_ecolipol	1741.000000	0.000000	0.000000
14.999737	bound_ribosome	9807.000000	0.000000	0.000000
14.999737	degraded_transcript	18.000000	0.000000	0.000000
14.999737	ecoli_genome	59.000000	0.000000	0.000000
14.999737	ecoli_transcript	1196.000000	0.000000	0.000000
