time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	30.000000	0.000000	0.000000
0.000000	bound_ecolipol	1800.000000	0.000000	0.000000
0.000000	bound_ribosome	10000.000000	0.000000	0.000000
0.000000	degraded_transcript	0.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
5.001375	__gene_A*_rbs	0.000000	0.000000	0.000000
5.001375	__gene_A_rbs	0.000000	0.000000	0.000000
5.001375	__gene_B_rbs	0.000000	0.000000	0.000000
5.001375	__gene_C_rbs	0.000000	0.000000	0.000000
5.001375	__gene_D_rbs	1.000000	0.000000	0.000000
5.001375	__gene_E_rbs	0.000000	0.000000	0.000000
5.001375	__gene_F_rbs	0.000000	0.000000	0.000000
5.001375	__gene_G_rbs	0.000000	0.000000	0.000000
5.001375	__gene_H_rbs	0.000000	0.000000	0.000000
5.001375	__gene_J_rbs	0.000000	0.000000	0.000000
5.001375	__gene_K_rbs	0.000000	0.000000	0.000000
5.001375	__ribosome	385.000000	0.000000	0.000000
5.001375	bound_ecolipol	1736.000000	0.000000	0.000000
5.001375	bound_ribosome	9642.000000	0.000000	0.000000
5.001375	degraded_transcript	7.000000	0.000000	0.000000
5.001375	ecoli_genome	64.000000	0.000000	0.000000
5.001375	ecoli_transcript	708.000000	0.000000	0.000000
5.001375	ecolipol	62.000000	0.000000	0.000000
5.001375	gene_D	0.000000	1.000000	3.000000
5.001375	promoter_A	1.000000	0.000000	0.000000
5.001375	promoter_B1	1.000000	0.000000	0.000000
5.001375	promoter_D	0.000000	0.000000	0.000000
9.999591	__gene_A*_rbs	0.000000	0.000000	0.000000
9.999591	__gene_A_rbs	0.000000	0.000000	0.000000
9.999591	__gene_B_rbs	0.000000	0.000000	0.000000
9.999591	__gene_C_rbs	0.000000	0.000000	0.000000
9.999591	__gene_D_rbs	0.000000	0.000000	0.000000
9.999591	__gene_E_rbs	0.000000	0.000000	0.000000
9.999591	__gene_F_rbs	0.000000	0.000000	0.000000
9.999591	__gene_G_rbs	0.000000	0.000000	0.000000
9.999591	__gene_H_rbs	0.000000	0.000000	0.000000
9.999591	__gene_J_rbs	0.000000	0.000000	0.000000
9.999591	__gene_K_rbs	0.000000	0.000000	0.000000
9.999591	__ribosome	281.000000	0.000000	0.000000
9.999591	bound_ecolipol	1724.000000	0.000000	0.000000
9.999591	bound_ribosome	9723.000000	0.000000	0.000000
9.999591	degraded_transcript	12.000000	0.000000	0.000000
9.999591	ecoli_genome	76.000000	0.000000	0.000000
9.999591	ecoli_transcript	937.000000	0.000000	0.000000
9.999591	ecolipol	71.000000	0.000000	0.000000
9.999591	gene_D	0.000000	4.000000	6.000000
9.999591	gene_E	0.000000	1.000000	2.000000
9.999591	promoter_A	1.000000	0.000000	0.000000
9.999591	promoter_B1	1.000000	0.000000	0.000000
9.999591	promoter_D	0.000000	0.000000	0.000000
14.999196	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999196	__gene_A_rbs	0.000000	0.000000	0.000000
14.999196	__gene_B_rbs	0.000000	0.000000	0.000000
14.999196	__gene_C_rbs	0.000000	0.000000	0.000000
14.999196	__gene_D_rbs	3.000000	0.000000	0.000000
14.999196	__gene_E_rbs	0.000000	0.000000	0.000000
14.999196	__gene_F_rbs	0.000000	0.000000	0.000000
14.999196	__gene_G_rbs	0.000000	0.000000	0.000000
14.999196	__gene_H_rbs	0.000000	0.000000	0.000000
14.999196	__gene_J_rbs	0.000000	0.000000	0.000000
14.999196	__gene_K_rbs	0.000000	0.000000	0.000000
14.999196	__ribosome	209.000000	0.000000	0.000000
